"gene","disease","count"
"HTT gene","Huntington Disease","1594"
"MAPT wt Allele","Pathology processes","1494"
"MAPT wt Allele","Alzheimer's Disease","1382"
"FBN1 wt Allele","Mass of body structure","1137"
"IRF6 wt Allele","Van der Woude syndrome","1015"
"PRNP gene","Pityriasis Rubra Pilaris","984"
"ABCB6 wt Allele","Pityriasis Rubra Pilaris","984"
"PRNP wt Allele","Pityriasis Rubra Pilaris","984"
"MAPT wt Allele","Neurofibrillary degeneration (morphologic abnormality)","917"
"MTR Gene","Multiple Sclerosis","909"
"MTR wt Allele","Multiple Sclerosis","908"
"SOD1 wt Allele","Amyotrophic Lateral Sclerosis","850"
"MAPT wt Allele","Tauopathies","776"
"IKBKG wt Allele","Syndrome, Bloch-Sulzberger","711"
"SDHB wt Allele","Syndrome, Bloch-Sulzberger","711"
"PRRT2 wt Allele","Paroxysmal kinesigenic choreoathetosis","630"
"AR gene","Aortic Valve Insufficiency","594"
"AR gene","Adverse reactions","594"
"AREG wt Allele","Aortic Valve Insufficiency","594"
"AREG wt Allele","Adverse reactions","594"
"AR wt Allele","Aortic Valve Insufficiency","594"
"AR wt Allele","Adverse reactions","594"
"ELL wt Allele","Multiple Endocrine Neoplasia","588"
"HTT gene","Neurodegenerative Disorders","525"
"CISH Gene","Carcinoma in Situ","516"
"KRAS wt Allele","Ichthyosis linearis circumflexa","501"
"POMT1 gene","Therapeutic radiology procedure","492"
"SOD1 gene","Amyotrophic Lateral Sclerosis","480"
"CRH Gene","Kidney Failure, Chronic","479"
"CRH wt Allele","Kidney Failure, Chronic","479"
"PLP1 gene","PLP1 gene","461"
"CP Gene","Cerebral Palsy","447"
"Genes","Schizophrenia","430"
"FANCA wt Allele","Fanconi Anemia","418"
"HTT wt Allele","Huntington Disease","412"
"TARDBP wt Allele","Amyotrophic Lateral Sclerosis","408"
"FUS Gene","Feline urological syndrome","405"
"AR wt Allele","Bulbo-Spinal Atrophy, X-Linked","398"
"AR wt Allele","Mucocutaneous Lymph Node Syndrome","390"
"Genes","Amyotrophic Lateral Sclerosis","370"
"MAPT wt Allele","Nerve Degeneration","360"
"C9orf72 Gene","Amyotrophic Lateral Sclerosis","352"
"APP gene","Alzheimer's Disease","345"
"MAPT wt Allele","Senile Plaques","340"
"KRIT1 wt Allele","Cavernous Hemangioma of Brain","334"
"CALM1 wt Allele","Cavernous Hemangioma of Brain","333"
"EPO Gene","Mycoplasma pneumonia","324"
"EPO wt Allele","Mycoplasma pneumonia","324"
"LEP Gene","Obesity","308"
"MAPT wt Allele","Impaired cognition","303"
"FUS Gene","Amyotrophic Lateral Sclerosis","299"
"CTLA4 wt Allele","Hamartoma Syndrome, Multiple","291"
"HLA-DQA1 wt Allele","Hamartoma Syndrome, Multiple","291"
"NOD2 wt Allele","Hamartoma Syndrome, Multiple","291"
"Genes","Alzheimer's Disease","276"
"Genes","Pervasive Development Disorder","270"
"MAPT wt Allele","Neurodegenerative Disorders","266"
"PADI4 Gene","Peripheral Arterial Diseases","256"
"PADI4 wt Allele","Peripheral Arterial Diseases","256"
"HTT gene","Parkinson Disease","254"
"Genes","Intellectual Disability","250"
"AVP wt Allele","Variegate Porphyria","241"
"Genes","Malnutrition","237"
"Genes","Parkinson Disease","237"
"MECP2 gene","Rett Syndrome","236"
"MAPT wt Allele","Dental Plaque","236"
"MAPT wt Allele","Functional disorder","233"
"MAPT wt Allele","Frontotemporal dementia","230"
"Genes","Injury due to exposure to external cause","228"
"Genes","Neurodegenerative Disorders","227"
"Genes","Epilepsy","222"
"Genes","Autism Spectrum Disorders","222"
"KISS1 Gene","Reproduction","218"
"MAPT wt Allele","Progressive supranuclear palsy","217"
"Genes","Pathogenesis","215"
"MAPT wt Allele","Disease Progression","215"
"KLK3 Gene","Polyendocrinopathies, Autoimmune","214"
"APC wt Allele","Gardner Syndrome","214"
"KLK3 wt Allele","Polyendocrinopathies, Autoimmune","214"
"SH2B2 wt Allele","Polyendocrinopathies, Autoimmune","214"
"SBDS wt Allele","Shwachman syndrome","213"
"ATM gene","Ataxia Telangiectasia","207"
"SPN Gene","Solitary Pulmonary Nodule","206"
"ATP8A2 wt Allele","Hypersensitivity","205"
"C9orf72 Gene","Frontotemporal dementia","200"
"Genes","Functional disorder","195"
"TARDBP wt Allele","Pathology processes","194"
"MYCBP2 Gene","Primary acquired melanosis","193"
"MYCBP2 wt Allele","Primary acquired melanosis","193"
"ATM wt Allele","Ataxia Telangiectasia","186"
"LINC01194 gene","Skin tag","185"
"Genes","Autistic Disorder","184"
"MAPT wt Allele","Frontotemporal Lobar Degeneration","184"
"MAPT wt Allele","Pathogenesis","183"
"RB1 wt Allele","Retinoblastoma","182"
"MAPT wt Allele","Cutaneous plaque","182"
"TYMS Gene","Gilles de la Tourette syndrome","177"
"TYMS Gene","Tricuspid Valve Stenosis","177"
"TYMS Gene","Tuberous Sclerosis","177"
"TYMS Gene","Timothy syndrome","177"
"BACE1 Gene","Alzheimer's Disease","177"
"TYMS wt Allele","Gilles de la Tourette syndrome","177"
"TYMS wt Allele","Tricuspid Valve Stenosis","177"
"TYMS wt Allele","Tuberous Sclerosis","177"
"TYMS wt Allele","Timothy syndrome","177"
"LRRK2 gene","Parkinson Disease","176"
"Wild Type","Malnutrition","174"
"FAS Gene","Fetal Alcohol Syndrome","171"
"FASN wt Allele","Fetal Alcohol Syndrome","171"
"ACACA wt Allele","Agenesis of corpus callosum","170"
"ACACA wt Allele","Aplasia Cutis Congenita","170"
"STS wt Allele","Sarcoma, Epithelioid","167"
"STS wt Allele","Sarcoma, Ewings","167"
"Genes","cortex bone disorders","166"
"MECP2 wt Allele","Rett Syndrome","162"
"Genes","Neurodevelopmental disorder","160"
"SMN1 gene","Spinal Muscular Atrophy","160"
"MAPT wt Allele","Lesion","160"
"MAPT wt Allele","Toxic effect","160"
"MAPT wt Allele","Malnutrition","158"
"APP gene","Senile Plaques","155"
"PSEN1 gene","Alzheimer's Disease","155"
"Wild Type","Injury due to exposure to external cause","153"
"Genes","Nerve Degeneration","148"
"TWIST1 wt Allele","Saethre-Chotzen Syndrome","148"
"FASTK Gene","Hypersensitivity","147"
"LEP Gene","Body Weight","147"
"Genes","Huntington Disease","143"
"MAS1 Gene","Meconium Aspiration Syndrome","143"
"MAS1 Gene","McCune-Albright Syndrome","143"
"MAS1 Gene","Macrophage Activation Syndrome","143"
"HCRT Gene","Narcolepsy","143"
"MAS1 wt Allele","Meconium Aspiration Syndrome","143"
"MAS1 wt Allele","McCune-Albright Syndrome","143"
"MAS1 wt Allele","Macrophage Activation Syndrome","143"
"c-fos Genes","Injury due to exposure to external cause","141"
"TARDBP wt Allele","Frontotemporal dementia","141"
"MAPT wt Allele","Dementia","140"
"Genes","Inflammation","138"
"KISS1 Gene","Puberty","138"
"MPZ gene","Toxic effect","138"
"GNRH1 Gene","Reproduction","136"
"CHGA Gene","Progressive supranuclear palsy","135"
"HTT gene","Amyotrophic Lateral Sclerosis","135"
"MSMB wt Allele","Progressive supranuclear palsy","135"
"CAT Gene","cortex bone disorders","134"
"LEP Gene","Hypersensitivity","134"
"Genes","Pathology processes","133"
"HGS Gene","Dentatorubral-Pallidoluysian Atrophy","133"
"HGS wt Allele","Dentatorubral-Pallidoluysian Atrophy","133"
"TARDBP wt Allele","Frontotemporal Lobar Degeneration","132"
"Chloramphenicol O-Acetyltransferase","cortex bone disorders","131"
"Chloramphenicol Acetyl Transferase Gene","cortex bone disorders","131"
"TFPI Gene","Exocrine pancreatic insufficiency","131"
"MAPT wt Allele","biologic degeneration","131"
"TFPI wt Allele","Exocrine pancreatic insufficiency","131"
"Genes","Hypersensitivity","130"
"INS gene","Hypoglycemia","130"
"HP Gene","Hereditary pancreatitis","128"
"HP Gene","Hyperplastic Polyp","128"
"TARDBP Gene","Amyotrophic Lateral Sclerosis","128"
"DLC1 wt Allele","Hereditary pancreatitis","128"
"DLC1 wt Allele","Hyperplastic Polyp","128"
"HPR wt Allele","Hereditary pancreatitis","128"
"HPR wt Allele","Hyperplastic Polyp","128"
"Genes","Oxidative Stress","127"
"APP gene","Dental Plaque","126"
"FMR1 gene","Fragile X Syndrome","126"
"Wild Type","cortex bone disorders","126"
"Genes","Cessation of life","124"
"APOE gene","Alzheimer's Disease","124"
"TGFBI wt Allele","Cat-Scratch Disease","124"
"TGFBI wt Allele","Congenital secretory diarrhea, sodium type (disorder)","124"
"SST Gene","Polycythemia Vera","123"
"Genes","Death (finding)","122"
"MAPT wt Allele","Abnormal degeneration","120"
"SOD1 wt Allele","Glucocorticoid-remediable aldosteronism","119"
"FUS Gene","Frontotemporal Lobar Degeneration","118"
"Genes, Immediate-Early","AIDS related complex","117"
"PLP1 wt Allele","PLP1 gene","117"
"GNRH1 wt Allele","Reproduction","116"
"Genes","Syndrome","115"
"PRNP gene","Prion Diseases","115"
"Tumor Necrosis Factor-alpha","Inflammation","115"
"MAPT wt Allele","Impaired health","115"
"INS gene","Diabetes Mellitus","114"
"PTHLH wt Allele","PLP1 gene","114"
"GFAP gene","Gliosis","113"
"LEP Gene","Metabolic","113"
"MID1 wt Allele","Opitz-Frias syndrome","113"
"Genes","Sex Behavior","111"
"APC gene","Adenomatous Polyposis Coli","111"
"SOD1 wt Allele","Frontotemporal dementia","111"
"Wild Type","Ethanol","111"
"FAT1 gene","Mass of body structure","110"
"CD36 Gene","Mass of body structure","110"
"CD36 wt Allele","Mass of body structure","110"
"FAT wt Allele","Mass of body structure","110"
"ATP7A wt Allele","Menkes Kinky Hair Syndrome","110"
"MAPT wt Allele","Corticobasal degeneration","108"
"AKT1S1 wt Allele","Pituitary Diseases","108"
"PROC wt Allele","Adenomatous Polyposis Coli","108"
"Genes","Disorders, Mental","107"
"Genes","Disorder nervous system","107"
"HTT gene","Nerve Degeneration","107"
"Wild Type","Cessation of life","107"
"PSEN1 wt Allele","Alzheimer's Disease","107"
"Wild Type","Hypersensitivity","106"
"Genes","Frontotemporal dementia","105"
"APP gene","Pathology processes","105"
"GRN Gene","Frontotemporal dementia","105"
"Wild Type","Death (finding)","105"
"TBX4 wt Allele","Stiff-Person Syndrome","105"
"MAPT gene","Alzheimer's Disease","104"
"LEPR wt Allele","Multiple Sclerosis","104"
"Genes","biologic degeneration","102"
"MDK Gene","Menkes Kinky Hair Syndrome","102"
"SOD1 gene","Spinal Cord Diseases","102"
"MDK wt Allele","Menkes Kinky Hair Syndrome","102"
"Wild Type","Test Result","102"
"Genes","Rett Syndrome","100"
"MAPT wt Allele","Injury due to exposure to external cause","99"
"CD69 wt Allele","Injury due to exposure to external cause","99"
"INS gene","Insulin Resistance","98"
"TH gene","Lesion","98"
"APP wt Allele","Senile Plaques","98"
"Genes","Spinal Cord Diseases","97"
"INS gene","Diabetes","97"
"PLG Gene","Plasminogen","97"
"CD69 wt Allele","Parkinson Disease","97"
"Genes","Bipolar Disorder","96"
"TNF Gene","Inflammation","96"
"Genes","Cell Death","95"
"INS gene","Metabolic","95"
"HTT gene","biologic degeneration","95"
"MAPT wt Allele","Death (finding)","95"
"Genes","Congenital Abnormality","94"
"MAPT wt Allele","Cessation of life","94"
"FAT1 gene","Obesity","93"
"INS gene","Obesity","93"
"CD36 Gene","Obesity","93"
"CHAT Gene","Lesion","93"
"Tumor Necrosis Factor-alpha","Oxidative Stress","93"
"CD36 wt Allele","Obesity","93"
"FAT wt Allele","Obesity","93"
"MAPT wt Allele","Traumatic Brain Injury","93"
"MAPT wt Allele","Neurotoxicity Syndromes","92"
"CD69 wt Allele","Cerebral Infarction","92"
"SLC27A4 wt Allele","Idiopathic pneumonia syndrome","92"
"Genes","Seizures","91"
"Genes","Abnormal degeneration","91"
"Wild Type","Physical shape","91"
"GNRH1 Gene","Pituitary Diseases","90"
"MPZ gene","Neurotoxicity Syndromes","90"
"Wild Type","Seizures","90"
"NCKIPSD wt Allele","Smokeless Tobacco","90"
"NCKIPSD wt Allele","Desquamative interstitial pneumonia","90"
"TSC22D3 wt Allele","Smokeless Tobacco","90"
"TSC22D3 wt Allele","Desquamative interstitial pneumonia","90"
"Genes","Physical shape","89"
"HTT gene","Functional disorder","89"
"AR wt Allele","Androgen-Insensitivity Syndrome","89"
