"gene","brainregion","count"
"PITX2 wt Allele","Structure of rubrospinal tract","1816"
"TH gene","Thalamic structure","1664"
"PLOD1 gene","Hypothalamic Area, Lateral","1215"
"PROC wt Allele","Posterior cerebral commissure","1107"
"KRT17 wt Allele","Posterior cerebral commissure","1107"
"PODXL wt Allele","Posterior cerebral commissure","1107"
"PODXL Gene","Posterior cerebral commissure","1107"
"PROC Gene","Posterior cerebral commissure","1107"
"PROC wt Allele","Paracentral Thalamic Nucleus","1107"
"KRT17 wt Allele","Paracentral Thalamic Nucleus","1107"
"PODXL wt Allele","Paracentral Thalamic Nucleus","1107"
"PODXL Gene","Paracentral Thalamic Nucleus","1107"
"PROC Gene","Paracentral Thalamic Nucleus","1107"
"ANG Gene","Structure of angular gyrus","1056"
"PRNP gene","Structure of nucleus prepositus","984"
"ABCB6 wt Allele","Structure of nucleus prepositus","984"
"PRNP wt Allele","Structure of nucleus prepositus","984"
"MTR wt Allele","Medial Septal Nucleus","908"
"MTR Gene","Medial Septal Nucleus","908"
"MTR wt Allele","Marginal Sulcus","908"
"MTR Gene","Marginal Sulcus","908"
"Wild Type","BRAIN, HIPPOCAMPUS","756"
"SDHB wt Allele","Interpeduncular nucleus","711"
"IKBKG wt Allele","Interpeduncular nucleus","711"
"MAPT wt Allele","BRAIN, HIPPOCAMPUS","693"
"Genes","BRAIN, HIPPOCAMPUS","682"
"CD55 wt Allele","Structure of capsule of red nucleus","659"
"CR2 wt Allele","Structure of capsule of red nucleus","659"
"TH gene","Substantia nigra structure","600"
"Genes","Cerebral cortex","522"
"BDNF Gene","BRAIN, HIPPOCAMPUS","522"
"CISH Gene","Central insular sulcus","516"
"SCG2 Gene","Substantia nigra structure","505"
"POMT1 gene","Structure of thalamic reticular nucleus","492"
"POMT1 gene","Rostrotemporal auditory area","492"
"HOXA10 wt Allele","Parietal Lobe","455"
"HOXA10 wt Allele","Posterolateral auditory cortex","455"
"CP Gene","Cerebral Peduncle","447"
"GNAI1 Gene","Gigantocellular nucleus","444"
"GNAI1 wt Allele","Gigantocellular nucleus","444"
"SERPINA1 wt Allele","Pineal gland","427"
"SERPINA1 gene","Pineal gland","427"
"KISS1 Gene","Structure of nucleus infundibularis hypothalami","417"
"TH gene","Neostriatum","416"
"TH gene","Corpus striatum structure","403"
"HCRT Gene","Hypothalamic Area, Lateral","400"
"POSTN Gene","Pontine nuclei","393"
"POSTN wt Allele","Pontine nuclei","393"
"Tumor Necrosis Factor-alpha","BRAIN, HIPPOCAMPUS","387"
"SILV wt Allele","Substantia innominata","383"
"CD69 wt Allele","BRAIN, HIPPOCAMPUS","378"
"Genes","Genus Hippocampus","361"
"MAPT wt Allele","Genus Hippocampus","356"
"TNF Gene","BRAIN, HIPPOCAMPUS","354"
"Wild Type","Cerebral cortex","338"
"ASAH1 wt Allele","Structure of anterior commissure","336"
"ASAH1 Gene","Structure of anterior commissure","336"
"ASAH1 wt Allele","Nucleus of anterior commissure","336"
"ASAH1 Gene","Nucleus of anterior commissure","336"
"NR3C1 Gene","Structure of nucleus gracilis","323"
"NR3C1 wt Allele","Structure of nucleus gracilis","323"
"APP gene","BRAIN, HIPPOCAMPUS","320"
"DHPS wt Allele","Dorsal Septal Nucleus","307"
"TH gene","Ventral Tegmental Area","298"
"MAPT wt Allele","Anterodorsal nucleus of thalamus","296"
"Wild Type","Genus Hippocampus","293"
"CTLA4 wt Allele","Caudate nucleus structure","291"
"HLA-DQA1 wt Allele","Caudate nucleus structure","291"
"NOD2 wt Allele","Caudate nucleus structure","291"
"CTLA4 wt Allele","Central Dorsal Nucleus","291"
"HLA-DQA1 wt Allele","Central Dorsal Nucleus","291"
"NOD2 wt Allele","Central Dorsal Nucleus","291"
"GNRH1 Gene","Hypothalamic Area, Lateral","281"
"GNRH1 wt Allele","Hypothalamic Area, Lateral","281"
"MAPT wt Allele","Cerebral cortex","277"
"LEP Gene","Hypothalamic structure","267"
"MET Gene","Metencephalon","261"
"MET wt Allele","Metencephalon","261"
"FASTK Gene","Cerebral cortex","258"
"CLIC4 wt Allele","Structure of thalamic fasciculus","254"
"c-fos Genes","BRAIN, HIPPOCAMPUS","250"
"BDNF Gene","Genus Hippocampus","249"
"POMC Gene","Structure of nucleus infundibularis hypothalami","248"
"Genes","Cerebellum","247"
"ENG wt Allele","BRAIN, HIPPOCAMPUS","244"
"AVP wt Allele","Ventral Posterior Nucleus","241"
"Tumor Necrosis Factor-alpha","Genus Hippocampus","240"
"PSEN1 gene","BRAIN, HIPPOCAMPUS","239"
"FASTK Gene","Pyramidal Cells","239"
"TH gene","Structure of locus ceruleus","235"
"FASTK Gene","BRAIN, HIPPOCAMPUS","232"
"TH gene","Pars Compacta","231"
"TH gene","Midbrain structure","226"
"PSEN1 wt Allele","BRAIN, HIPPOCAMPUS","225"
"GRIN2B wt Allele","BRAIN, HIPPOCAMPUS","223"
"TNF Gene","Genus Hippocampus","219"
"KLK3 Gene","Olfactory tubercle","214"
"KLK3 wt Allele","Olfactory tubercle","214"
"SH2B2 wt Allele","Olfactory tubercle","214"
"F2 wt Allele","Paratenial Nucleus","212"
"F2 wt Allele","Planum temporale (PT)","212"
"GFAP gene","BRAIN, HIPPOCAMPUS","211"
"CAT Gene","Cerebral cortex","210"
"HCRT Gene","Hypothalamic structure","210"
"PPT1 gene","Nucleus, Principal Pretectal","202"
"Chloramphenicol Acetyl Transferase Gene","Visual Cortex","201"
"CAT Gene","Visual Cortex","201"
"Chloramphenicol O-Acetyltransferase","Visual Cortex","201"
"Chloramphenicol O-Acetyltransferase","Cerebral cortex","200"
"Chloramphenicol Acetyl Transferase Gene","Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","200"
"CAT Gene","Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","200"
"Chloramphenicol O-Acetyltransferase","Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","200"
"LITAF gene","Purkinje Cells","199"
"Chloramphenicol Acetyl Transferase Gene","Cerebral cortex","198"
"FLT3LG Gene","Lobe, Frontal","192"
"FLT3LG wt Allele","Lobe, Frontal","192"
"Long Interspersed Element","BRAIN, HIPPOCAMPUS","191"
"OXT Gene","Hypothalamic structure","191"
"LITAF gene","Cerebral cortex","189"
"FOXC2 wt Allele","Lateral Dorsal Nucleus","189"
"SYP Gene","BRAIN, HIPPOCAMPUS","188"
"Wild Type","CA1 field","187"
"CD69 wt Allele","Cerebral cortex","186"
"MTOR Gene","BRAIN, HIPPOCAMPUS","186"
"c-fos Genes","Nucleus solitarius","186"
"CHAT Gene","BRAIN, HIPPOCAMPUS","182"
"APP gene","Genus Hippocampus","182"
"DCX gene","BRAIN, HIPPOCAMPUS","181"
"GNRH1 Gene","Hypothalamic structure","179"
"TYMS Gene","Triangular Septal Nucleus","177"
"TYMS wt Allele","Triangular Septal Nucleus","177"
"TYMS Gene","Tectospinal tract of medulla","177"
"TYMS wt Allele","Tectospinal tract of medulla","177"
"CHAT Gene","Basal Forebrain","177"
"HTT gene","Corpus striatum structure","176"
"AGT Gene","Structure of angular gyrus","176"
"HTT gene","Neostriatum","176"
"BGLAP Gene","Olivocerebellar fibers","176"
"BGLAP wt Allele","Olivocerebellar fibers","176"
"Long Interspersed Element","Cerebral cortex","174"
"POMC Gene","Hypothalamic structure","173"
"CREB1 Gene","BRAIN, HIPPOCAMPUS","171"
"CREB1 wt Allele","BRAIN, HIPPOCAMPUS","171"
"FAS Gene","Nucleus fastigii","171"
"FASN wt Allele","Nucleus fastigii","171"
"ACACA wt Allele","Structure of forceps minor","170"
"NTRK2 Gene","BRAIN, HIPPOCAMPUS","169"
"APP gene","Anterodorsal nucleus of thalamus","168"
"NGF Gene","BRAIN, HIPPOCAMPUS","166"
"SET Gene","Cerebral cortex","164"
"CD69 wt Allele","Genus Hippocampus","164"
"GNRH1 Gene","Preoptic Areas","163"
"DST wt Allele","Dentate nucleus","163"
"DST Gene","Dentate nucleus","163"
"DST wt Allele","Dentatothalamic tract","163"
"DST Gene","Dentatothalamic tract","163"
"Wild Type","Neostriatum","162"
"FGFR1 wt Allele","Cerebral cortex","160"
"FGFR1 wt Allele","BRAIN, HIPPOCAMPUS","160"
"SST Gene","BRAIN, HIPPOCAMPUS","159"
"Wild Type","Corpus striatum structure","158"
"c-fos Genes","Genus Hippocampus","157"
"c-fos Genes","Hypothalamic structure","156"
"ATP8A2 wt Allele","BRAIN, HIPPOCAMPUS","155"
"PITX2 wt Allele","BRAIN, HIPPOCAMPUS","154"
"OXT Gene","Nucleus of optic tract","154"
"OXT wt Allele","Nucleus of optic tract","154"
"KISS1 Gene","Hypothalamic structure","152"
"Genes","Hypothalamic structure","151"
"GNRH1 wt Allele","Hypothalamic structure","150"
"PSEN1 gene","Genus Hippocampus","150"
"INS gene","BRAIN, HIPPOCAMPUS","149"
"ELANE Gene","Structure of locus ceruleus","148"
"ELANE wt Allele","Structure of locus ceruleus","148"
"AKT1S1 wt Allele","Pituitary Gland","147"
"MTR wt Allele","Diagonal Band of Broca","147"
"MTR Gene","Diagonal Band of Broca","147"
"HCRT Gene","Ventral Tegmental Area","145"
"Wild Type","Cerebellum","144"
"GNRH1 Gene","Median eminence of hypothalamus","144"
"Wild Type","Purkinje Cells","144"
"SST Gene","Cerebral cortex","142"
"PSEN1 wt Allele","Genus Hippocampus","141"
"CRH Gene","Hypothalamic structure","139"
"Wild Type","Pyramidal Cells","137"
"ENG wt Allele","Cerebral cortex","135"
"LEPR wt Allele","Diagonal Band of Broca","135"
"LEPR wt Allele","Nucleus of Diagonal Band","135"
"NPY Gene","Structure of nucleus infundibularis hypothalami","134"
"c-fos Genes","Neostriatum","134"
"c-fos Genes","Amygdaloid structure","133"
"TYMP Gene","Tectopontine fibers","133"
"TMPO Gene","Tectopontine fibers","133"
"TYMP wt Allele","Tectopontine fibers","133"
"TMPO wt Allele","Tectopontine fibers","133"
"GFAP gene","Genus Hippocampus","133"
"MAPK3 Gene","BRAIN, HIPPOCAMPUS","132"
"GNRH1 wt Allele","Preoptic Areas","131"
"CHAT Gene","Genus Hippocampus","129"
"Genes","Purkinje Cells","128"
"GRIN2A wt Allele","BRAIN, HIPPOCAMPUS","127"
"ENG wt Allele","Genus Hippocampus","127"
"PROC wt Allele","Purkinje Cells","126"
"KRT17 wt Allele","Purkinje Cells","126"
"PODXL wt Allele","Purkinje Cells","126"
"PODXL Gene","Purkinje Cells","126"
"PROC Gene","Purkinje Cells","126"
"Genes","Neostriatum","125"
"KRAS wt Allele","Paracentral sulcus","125"
"Genes","Corpus striatum structure","124"
"LEP Gene","Structure of nucleus infundibularis hypothalami","123"
"c-fos Genes","Corpus striatum structure","123"
"GRIN2B Gene","BRAIN, HIPPOCAMPUS","123"
"GNRH1 wt Allele","Median eminence of hypothalamus","123"
"SST Gene","Structure of paraventricular nucleus of thalamus","123"
"BDNF Gene","Cerebral cortex","122"
"Promoter","BRAIN, HIPPOCAMPUS","122"
"MAPK3 wt Allele","BRAIN, HIPPOCAMPUS","122"
"MAP Kinase Gene","BRAIN, HIPPOCAMPUS","122"
"c-fos Genes","Cerebral cortex","121"
"THBD wt Allele","Tuberomammillary Nucleus","120"
"CHAT Gene","Cerebral cortex","116"
"INS gene","Hypothalamic structure","116"
"Chloramphenicol Acetyl Transferase Gene","Area striata structure","116"
"CAT Gene","Area striata structure","116"
"Chloramphenicol O-Acetyltransferase","Area striata structure","116"
"TNC wt Allele","Globus Pallidus","115"
"CDC42 wt Allele","Globus Pallidus","115"
"RNF130 wt Allele","Globus Pallidus","115"
"RNH1 Gene","Rostral interstitial nucleus of medial longitudinal fasciculus","115"
"TH gene","Medulla Oblongata","114"
"PIK3CA wt Allele","BRAIN, HIPPOCAMPUS","112"
"LITAF gene","Area striata structure","112"
"RPL5 wt Allele","Pyramidal Cells","111"
"TH gene","Hypothalamic structure","110"
"GNRH1 Gene","Pituitary Gland","110"
"PPFIBP1 wt Allele","Pyramidal Cells","109"
"ATP8A2 wt Allele","CA2 field","109"
"RELN Gene","Cerebral cortex","107"
"MTR wt Allele","BRAIN, HIPPOCAMPUS","107"
"MTR Gene","BRAIN, HIPPOCAMPUS","107"
"MTR wt Allele","Nucleus of Diagonal Band","107"
"MTR Gene","Nucleus of Diagonal Band","107"
"EPHB2 Gene","BRAIN, HIPPOCAMPUS","106"
"LTF Gene","Structure of longitudinal cerebral fissure","106"
"LTF wt Allele","Structure of longitudinal cerebral fissure","106"
"Genes","Prosencephalon","105"
"Philadelphia Chromosome","Structure of posterior hypothalamic nucleus","105"
"Estrogen Receptors","BRAIN, HIPPOCAMPUS","104"
"LEPR wt Allele","Medial Septal Nucleus","104"
"LEPR wt Allele","Marginal Sulcus","104"
"AKT1S1 wt Allele","Cerebellum","103"
"Chloramphenicol Acetyl Transferase Gene","Superior colliculus of corpora quadrigemina","103"
"CAT Gene","Superior colliculus of corpora quadrigemina","103"
"Chloramphenicol O-Acetyltransferase","Superior colliculus of corpora quadrigemina","103"
"MPO Gene","Structure of medial preoptic nucleus","102"
"PROC Gene","Cerebellum","101"
"CD55 wt Allele","Cerebral cortex","101"
"BACE1 Gene","Anterodorsal nucleus of thalamus","101"
"PROC wt Allele","Cerebellum","100"
"KRT17 wt Allele","Cerebellum","99"
"PODXL wt Allele","Cerebellum","99"
"PODXL Gene","Cerebellum","99"
"MAPK1 wt Allele","BRAIN, HIPPOCAMPUS","99"
"c-fos Genes","Nucleus Accumbens","99"
"NGF Gene","Basal Forebrain","99"
"SCG2 Gene","Ventral Tegmental Area","98"
"MAPT wt Allele","Structure of locus ceruleus","97"
"BCAR1 Gene","Callosal sulcus","95"
"CTNND1 Gene","Callosal sulcus","95"
"BCAR1 wt Allele","Callosal sulcus","95"
"CTNND1 wt Allele","Callosal sulcus","95"
"NES Gene","BRAIN, HIPPOCAMPUS","94"
"Genes","Prefrontal Cortex","94"
"LEP Gene","BRAIN, HIPPOCAMPUS","93"
"GHRL Gene","Structure of nucleus infundibularis hypothalami","92"
"GNRH1 wt Allele","Pituitary Gland","92"
"SST Gene","Pyramidal Cells","92"
"FASTK Gene","CA1 field","92"
"SST Gene","Genus Hippocampus","92"
"CRH Gene","Structure of locus ceruleus","91"
"ST13 wt Allele","Structure of habenulopeduncular tract","91"
"RPL29 wt Allele","Structure of habenulopeduncular tract","91"
"REG3A wt Allele","Structure of habenulopeduncular tract","91"
"RPL29 Gene","Structure of habenulopeduncular tract","91"
"ST13 Gene","Structure of habenulopeduncular tract","91"
"c-fos Genes","Structure of nucleus infundibularis hypothalami","90"
"GRIN2B wt Allele","Genus Hippocampus","90"
"ATP8A2 wt Allele","Cerebral cortex","89"
"RELN Gene","BRAIN, HIPPOCAMPUS","89"
"KISS1 Gene","Preoptic Areas","89"
"Tumor Necrosis Factor-Beta","Lamina Terminalis","89"
"LTA wt Allele","Lamina Terminalis","89"
"c-fos Genes","Prefrontal Cortex","89"
"KITLG Gene","Subfascicular nucleus","89"
"HGF Gene","Subfascicular nucleus","89"
"KITLG wt Allele","Subfascicular nucleus","89"
"HGF wt Allele","Subfascicular nucleus","89"
"GNRH1 Gene","Structure of nucleus infundibularis hypothalami","88"
"DLG4 Gene","BRAIN, HIPPOCAMPUS","88"
"DCX gene","Genus Hippocampus","88"
"CNR1 gene","BRAIN, HIPPOCAMPUS","87"
"DST Gene","Structure of dorsomedial hypothalamic nucleus","86"
"DST wt Allele","Structure of dorsomedial hypothalamic nucleus","86"
"SET Gene","BRAIN, HIPPOCAMPUS","86"
"CHAT Gene","Neostriatum","86"
"GNRH1 wt Allele","Structure of nucleus infundibularis hypothalami","84"
"GFAP gene","Cerebral cortex","84"
"BACE1 Gene","BRAIN, HIPPOCAMPUS","84"
"NPY Gene","Hypothalamic structure","84"
"c-fos Genes","Medulla Oblongata","84"
"c-fos Genes","CA1 field","84"
