concept,disease,appearTimes,conceptClass
HTT gene,Huntington Disease,1594,Gene
MAPT wt Allele,Alzheimer's Disease,1382,Gene
IRF6 wt Allele,Van der Woude syndrome,1015,Gene
SDHB wt Allele,Syndrome, Bloch-Sulzberger,711,Gene
IKBKG wt Allele,Syndrome, Bloch-Sulzberger,711,Gene
HTT gene,Neurodegenerative Disorders,525,Gene
HTT wt Allele,Huntington Disease,412,Gene
FUS Gene,Feline urological syndrome,405,Gene
AR wt Allele,Mucocutaneous Lymph Node Syndrome,390,Gene
APP gene,Alzheimer's Disease,345,Gene
NOD2 wt Allele,Hamartoma Syndrome, Multiple,291,Gene
HLA-DQA1 wt Allele,Hamartoma Syndrome, Multiple,291,Gene
CTLA4 wt Allele,Hamartoma Syndrome, Multiple,291,Gene
Genes,Alzheimer's Disease,276,Gene
Genes,Pervasive Development Disorder,270,Gene
MAPT wt Allele,Neurodegenerative Disorders,266,Gene
PADI4 Gene,Peripheral Arterial Diseases,256,Gene
PADI4 wt Allele,Peripheral Arterial Diseases,256,Gene
HTT gene,Parkinson Disease,254,Gene
Genes,Parkinson Disease,237,Gene
MECP2 gene,Rett Syndrome,236,Gene
MAPT wt Allele,Functional disorder,233,Gene
Genes,Neurodegenerative Disorders,227,Gene
Genes,Autism Spectrum Disorders,222,Gene
MAPT wt Allele,Disease Progression,215,Gene
APC wt Allele,Gardner Syndrome,214,Gene
SBDS wt Allele,Shwachman syndrome,213,Gene
Genes,Functional disorder,195,Gene
Genes,Autistic Disorder,184,Gene
TYMS wt Allele,Timothy syndrome,177,Gene
BACE1 Gene,Alzheimer's Disease,177,Gene
TYMS Gene,Timothy syndrome,177,Gene
TYMS wt Allele,Gilles de la Tourette syndrome,177,Gene
TYMS Gene,Gilles de la Tourette syndrome,177,Gene
LRRK2 gene,Parkinson Disease,176,Gene
FASN wt Allele,Fetal Alcohol Syndrome,171,Gene
FAS Gene,Fetal Alcohol Syndrome,171,Gene
Genes,cortex bone disorders,166,Gene
MECP2 wt Allele,Rett Syndrome,162,Gene
Genes,Neurodevelopmental disorder,160,Gene
PSEN1 gene,Alzheimer's Disease,155,Gene
TWIST1 wt Allele,Saethre-Chotzen Syndrome,148,Gene
MAS1 Gene,Macrophage Activation Syndrome,143,Gene
Genes,Huntington Disease,143,Gene
MAS1 wt Allele,Meconium Aspiration Syndrome,143,Gene
MAS1 Gene,Meconium Aspiration Syndrome,143,Gene
MAS1 Gene,McCune-Albright Syndrome,143,Gene
MAS1 wt Allele,McCune-Albright Syndrome,143,Gene
MAS1 wt Allele,Macrophage Activation Syndrome,143,Gene
CAT Gene,cortex bone disorders,134,Gene
Chloramphenicol O-Acetyltransferase,cortex bone disorders,131,Gene
Chloramphenicol Acetyl Transferase Gene,cortex bone disorders,131,Gene
Wild Type,cortex bone disorders,126,Gene
FMR1 gene,Fragile X Syndrome,126,Gene
APOE gene,Alzheimer's Disease,124,Gene
TGFBI wt Allele,Cat-Scratch Disease,124,Gene
TGFBI wt Allele,Congenital secretory diarrhea, sodium type (disorder),124,Gene
PRNP gene,Prion Diseases,115,Gene
Genes,Syndrome,115,Gene
MID1 wt Allele,Opitz-Frias syndrome,113,Gene
ATP7A wt Allele,Menkes Kinky Hair Syndrome,110,Gene
AKT1S1 wt Allele,Pituitary Diseases,108,Gene
Genes,Disorder nervous system,107,Gene
Genes,Disorders, Mental,107,Gene
PSEN1 wt Allele,Alzheimer's Disease,107,Gene
TBX4 wt Allele,Stiff-Person Syndrome,105,Gene
MAPT gene,Alzheimer's Disease,104,Gene
MDK wt Allele,Menkes Kinky Hair Syndrome,102,Gene
SOD1 gene,Spinal Cord Diseases,102,Gene
MDK Gene,Menkes Kinky Hair Syndrome,102,Gene
Genes,Rett Syndrome,100,Gene
