concept,disease,appearTimes,conceptClass
DEPRESSION MENTAL,Depressive disorder,7752,MentalP
Autistic Disorder,Autistic Disorder,2158,MentalP
Abnormal behavior,Disorders, Mental,1495,MentalP
Social Role,Functional disorder,1416,MentalP
Social Role,Alzheimer's Disease,1236,MentalP
Behavior,Depressive disorder,1191,MentalP
Like,Depressive disorder,1101,MentalP
Social Role,Neurodegenerative Disorders,1006,MentalP
Unipolar Depression,Major Depressive Disorder,885,MentalP
Impaired cognition,Alzheimer's Disease,862,MentalP
Mood Disorders,Mood Disorders,792,MentalP
Stress,Depressive disorder,791,MentalP
Anxiety,Depressive disorder,755,MentalP
Social Role,Parkinson Disease,731,MentalP
Communication Response,cortex bone disorders,718,MentalP
Social Role,Disease Progression,620,MentalP
Social Role,Depressive disorder,516,MentalP
Social Role,Neurotoxicity Syndromes,484,MentalP
Social Role,cortex bone disorders,461,MentalP
Fetal Alcohol Syndrome,Fetal Alcohol Syndrome,453,MentalP
Behavior,Functional disorder,442,MentalP
Social Role,Disorder nervous system,427,MentalP
Memory,Alzheimer's Disease,424,MentalP
Impaired cognition,Functional disorder,397,MentalP
Projection Defense Mechanism,cortex bone disorders,385,MentalP
Gilles de la Tourette syndrome,Gilles de la Tourette syndrome,363,MentalP
Communication Response,Depressive disorder,347,MentalP
Comprehension,Functional disorder,346,MentalP
Cognition,Alzheimer's Disease,337,MentalP
Social Role,Spinal Cord Diseases,312,MentalP
Like,Alzheimer's Disease,305,MentalP
DEPRESSION MENTAL,Functional disorder,303,MentalP
Insight,Functional disorder,295,MentalP
Behavior,cortex bone disorders,291,MentalP
Projection Defense Mechanism,Spinal Cord Diseases,291,MentalP
Impaired cognition,Neurodegenerative Disorders,268,MentalP
Factors, Risk,Alzheimer's Disease,262,MentalP
Social Role,Disorders, Mental,258,MentalP
Involvement with,Functional disorder,257,MentalP
Involvement with,Alzheimer's Disease,254,MentalP
Stress,Functional disorder,249,MentalP
Communication Response,Spinal Cord Diseases,238,MentalP
Memory impairment,Alzheimer's Disease,229,MentalP
Involvement with,Neurodegenerative Disorders,225,MentalP
Stress,Disorders, Mental,224,MentalP
Like,Parkinson Disease,220,MentalP
