brainregion,disease,text,pubdate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Area striata structure,Rabies (disorder),We used projection-dependent single-cell transcriptomic analyses and monosynaptic rabies tracing to compare mouse primary visual cortex CCPNs projecting to different higher visual areas.,2020 Jul 22;107(2):274-282.e6.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Structure of subthalamic nucleus,Parkinson Disease,We selected a subject with Parkinson's disease implanted with a Medtronic Activa PC+S DBS system and reconstructed their subthalamic nucleus (STN) and DBS electrode location using medical imaging data.,2018 Oct 1;120(4):1932-1944.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hypothalamic structure,cortex bone disorders,In our study, we characterized the presence of CRB2 in adult mice brain, where it is particularly enriched in cortex, hippocampus, hypothalamus and cerebellum.,2018 Aug 3;8(1):11652.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRAIN HIPPOCAMPUS,Niemann-Pick Disease, Type C,Importantly, corresponding with a decrease in neuronal differentiation in the absence of a complementary increase in an alternate cell fate, BACE1&gt;sup&lt;-/-&gt;/sup&lt; mice were found to have a pool of undifferentiated NPCs in the hippocampus compared to BACE1&gt;sup&lt;+/+&gt;/sup&lt; and BACE1&gt;sup&lt;+/-&gt;/sup&lt; mice.,2018 Aug 3;5(4):ENEURO.0067-18.2018.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Amyloid beta (Aβ)-mediated synapse dysfunction and spine loss are considered to be early events in Alzheimer's disease (AD) pathogenesis.,2018 Oct 23;6(1):110.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Claustral structure,cortex bone disorders,A few inputs to CCK neurons originated from the orbital frontal cortex, prelimbic cortex, cingulate cortex, claustrum, and seven other nuclei.,2018 Nov 5;12:807.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lateral Dorsal Nucleus,Van der Woude syndrome,Using LD score regression analysis, we show significant enrichment in PD heritability within regulatory sites for LPS-activated monocytes and that TLR4 expression is highest within human substantia nigra, the most affected brain region, suggesting a role for TLR4 inflammatory responses.,2019 Jan;137(1):103-120.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRAIN HIPPOCAMPUS,Neurotoxicity Syndromes,MN decreased glutamate uptake in the hippocampus and increased the release of S100B protein in the CSF in response to OKA neurotoxicity, which indicates a possible neurons-astrocyte coupling protective mechanism.,2019 Mar 23;696:179-183.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pars Compacta,Neurodegenerative Disorders,Parkinson's disease (PD) is a common neurodegenerative disease that is characterized by the progressive loss of dopaminergic neurons in the substantia nigra pars compacta (SNpc).,2019 Feb 10;399:117-124.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Structure of locus ceruleus,Alzheimer's Disease,Structural or functional abnormalities of LC impact several brain regions including cortex, hippocampus, and cerebellum and may contribute to depression, bipolar disorder, anxiety, as well as Parkinson disease and Alzheimer disease.,2019 Mar 7;(145):10.3791/58652.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neostriatum,Parkinson Disease,Background:                    Parkinson's disease is caused by dopamine deficiency in the striatum, which is a result of loss of dopamine neurons from the substantia nigra pars compacta.,2019 Feb;34(2):200-209.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Structure of median forebrain bundle,Parkinsonian Disorders,Using bacterial artificial chromosome-double transgenic mice expressing tdTomato in D1 receptor-medium spiny neurons (MSNs) and enhanced green fluorescent protein in D2 receptor-MSNs, we have studied changes in spine density and perisomatic GABAergic boutons density in MSNs of both the D1R and D2R pathways, in an experimental model of parkinsonism (mouse injected with 6-hydroxydopamine in the medial forebrain bundle), both in the parkinsonian and dyskinetic condition induced by L-DOPA treatment.,2019 Sep;56(9):6261-6275.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basal Ganglia,cortex bone disorders,Rs-fcMRI revealed altered resting state connectivity in many brain areas including the basal ganglia, amygdala, cortex, septum, pons etc.,2019 Mar 1;1706:58-67.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
