brainregion,disease,text,pubdate
Area striata structure,Rabies (disorder),We used projection-dependent single-cell transcriptomic analyses and monosynaptic rabies tracing to compare mouse primary visual cortex CCPNs projecting to different higher visual areas.,2020 Jul 22
Structure of subthalamic nucleus,Parkinson Disease,We selected a subject with Parkinson's disease implanted with a Medtronic Activa PC+S DBS system and reconstructed their subthalamic nucleus (STN) and DBS electrode location using medical imaging data.,2018 Oct 1
Hypothalamic structure,cortex bone disorders,In our study we characterized the presence of CRB2 in adult mice brain where it is particularly enriched in cortex hippocampus hypothalamus and cerebellum.,2018 Aug 3
BRAIN HIPPOCAMPUS,Niemann-Pick Disease Type C,Importantly corresponding with a decrease in neuronal differentiation in the absence of a complementary increase in an alternate cell fate BACE1&gt
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Amyloid beta (Aβ)-mediated synapse dysfunction and spine loss are considered to be early events in Alzheimer's disease (AD) pathogenesis.,2018 Oct 23
Claustral structure,cortex bone disorders,A few inputs to CCK neurons originated from the orbital frontal cortex prelimbic cortex cingulate cortex claustrum and seven other nuclei.,2018 Nov 5
Lateral Dorsal Nucleus,Van der Woude syndrome,Using LD score regression analysis we show significant enrichment in PD heritability within regulatory sites for LPS-activated monocytes and that TLR4 expression is highest within human substantia nigra the most affected brain region suggesting a role for TLR4 inflammatory responses.,2019 Jan
BRAIN HIPPOCAMPUS,Neurotoxicity Syndromes,MN decreased glutamate uptake in the hippocampus and increased the release of S100B protein in the CSF in response to OKA neurotoxicity which indicates a possible neurons-astrocyte coupling protective mechanism.,2019 Mar 23
Pars Compacta,Neurodegenerative Disorders,Parkinson's disease (PD) is a common neurodegenerative disease that is characterized by the progressive loss of dopaminergic neurons in the substantia nigra pars compacta (SNpc).,2019 Feb 10
Structure of locus ceruleus,Alzheimer's Disease,Structural or functional abnormalities of LC impact several brain regions including cortex hippocampus and cerebellum and may contribute to depression bipolar disorder anxiety as well as Parkinson disease and Alzheimer disease.,2019 Mar 7
Neostriatum,Parkinson Disease,Background:                    Parkinson's disease is caused by dopamine deficiency in the striatum which is a result of loss of dopamine neurons from the substantia nigra pars compacta.,2019 Feb
Structure of median forebrain bundle,Parkinsonian Disorders,Using bacterial artificial chromosome-double transgenic mice expressing tdTomato in D1 receptor-medium spiny neurons (MSNs) and enhanced green fluorescent protein in D2 receptor-MSNs we have studied changes in spine density and perisomatic GABAergic boutons density in MSNs of both the D1R and D2R pathways in an experimental model of parkinsonism (mouse injected with 6-hydroxydopamine in the medial forebrain bundle) both in the parkinsonian and dyskinetic condition induced by L-DOPA treatment.,2019 Sep
Basal Ganglia,cortex bone disorders,Rs-fcMRI revealed altered resting state connectivity in many brain areas including the basal ganglia amygdala cortex septum pons etc.,2019 Mar 1
Insula of Reil,Mood Disorders,Collectively this study supports a role for the insula-BNST neural circuit in negative affective disturbances and highlights the therapeutic potential of the eCB system for treating negative affective disorders.,2019 Feb
Structure of superior longitudinal fasciculus,Chronic Fatigue Syndrome,Data conclusion:                    Right SLF abnormalities may be a diagnostic marker for ME/CFS.,2019 Mar
Somatosensory Cortex,cortex bone disorders,In this study we used the Gap-crossing task a barrel cortex-dependent whisker-sensitive tactile behavior to test the hypothesis that unilateral lesions of the somatosensory cortex would affect behavioral functions of the intact somatosensory cortex and degrade the execution of a bilaterally learnt behavior.,2018 Nov 22
Dorsal Septal Nucleus,Hypoplastic enamel-onycholysis-hypohidrosis syndrome,The fourth group of DS TNs has the emergent rostro-caudal preference not explicitly present in any of the DS GC inputs.,2019 Apr 1
BRAIN HIPPOCAMPUS,neuropathology disease,Brain ischemia is the second naturally occurring neuropathology such as Alzheimer's disease which causes the death of neurons in the CA1 region of the hippocampus.,2018 Dec 12
Genus Hippocampus,Alzheimer's Disease,Brain ischemia is the second naturally occurring neuropathology such as Alzheimer's disease which causes the death of neurons in the CA1 region of the hippocampus.,2018 Dec 12
Cerebral cortex,Neurodevelopmental disorder,The original findings of early developmental dynamics of transitional subtypes of astroglia calretinin neurons ECM and synaptic markers presented in the SP are interesting in the light of recent concepts concerning its functional and morphogenetic role and an increasing interest in SP as a prospective substrate of abnormalities in cortical circuitry leading to a cognitive deficit in different neurodevelopmental disorders.,2019 Sep
Superior colliculus of corpora quadrigemina,Parkinson Disease,&gt
Anterodorsal nucleus of thalamus,Alzheimer's Disease,For decades scientists have known that carriers of the apolipoprotein E ε4 (&gt
Structure of angular gyrus,Hypertensive disease,We used designer receptors exclusively activated by designer drugs (DREADDs) to determine the role of the MnPO in drinking behavior and vasopressin release in response to peripheral angiotensin II (ANG II) or 3% hypertonic saline (3% HTN) in adult male Sprague Dawley rats (250-300 g).,2019 Mar 26
BRAIN HIPPOCAMPUS,Neurodegenerative Disorders,In this study we examined phosphorylated p65 (pp65) which is the activated form of a subunit of nuclear factor-kappa B (NF-κB) in the hippocampus of 21 autopsied cases including AD amyotrophic lateral sclerosis cases with optineurin mutation (ALS-OPTN) and a variety of other neurodegenerative disorder cases and normal controls.,2019 Jun 21
Dorsal Motor Nucleus,Disease Progression,Along the disease progression DMN and SN showed increased structural association at the early stage while decreased structural association at the late stage.,2019
BRAIN HIPPOCAMPUS,Mild cognitive disorder,Here we demonstrate that hippocampal neurogenesis is persistent through the tenth decade of life and is detectable in patients with mild cognitive impairments and Alzheimer's disease.,2019 Jun 6
Structure of anterior commissure,Recurrent disease,N-AC 100 mg/kg but not 60 mg/kg induced anti-relapse activity that persisted 50 days after treatment only when paired with either LP-EXT or eCET with the greater activity found in the latter condition.,2020 Jul
Cerebellum,Retinal Diseases,At the RNA level the hippocampus hypothalamus cerebellum and olfactory bulb all showed high levels of total lsr compared to whole brain tissues whereas at the protein level only the hypothalamus olfactory bulb and retina showed the highest levels of total LSR.,2019 Jun 24
Cerebral cortex,Neurodegenerative Disorders,Together our data indicate that PLA2G4A -mediated lysosomal membrane damage is involved in neuronal cell death following CCI-induced TBI and potentially in other neurodegenerative disorders.&gt
BRAIN HIPPOCAMPUS,Neurodegenerative Disorders,These findings by showing that intravenous injection of human MSC restores behavioral and hippocampal alterations in experimental sAD support the potential use of MSC therapy for the treatment of neurodegenerative diseases.,2020 Feb
