"brainregion","disease","count"
"BRAIN, HIPPOCAMPUS","Feline urological syndrome","1"
"BRAIN, HIPPOCAMPUS","Spinal Cord Diseases","2"
"BRAIN, HIPPOCAMPUS","Disorders, Mental","3"
"Cerebral cortex","Feline urological syndrome","4"
"Cerebral cortex","Spinal Cord Diseases","5"
"Cerebral cortex","Disorders, Mental","6"
"Genus Hippocampus","Feline urological syndrome","7"
"Genus Hippocampus","Spinal Cord Diseases","8"
"Genus Hippocampus","Disorders, Mental","9"
"Central insular sulcus","Feline urological syndrome","10"
"Central insular sulcus","Spinal Cord Diseases","11"
"Central insular sulcus","Disorders, Mental","12"
"Gyrus Cinguli","Fragile X Syndrome","13"
"Gyrus Cinguli","Syndrome","14"
"Gyrus Cinguli","Ataxia as late effect of cerebrovascular disease","15"
"Gyrus Cinguli","Neurodegenerative Disorders","16"
"Structure of nucleus prepositus","Prion Diseases","17"
"Structure of nucleus prepositus","Alzheimer's Disease","18"
"Structure of nucleus prepositus","Communicable Diseases","19"
"Structure of nucleus prepositus","Neurodegenerative Disorders","20"
"Structure of nucleus prepositus","Creutzfeldt-Jakob Disease, Sporadic","21"
"Structure of nucleus prepositus","Neurotoxicity Syndromes","22"
"Structure of nucleus prepositus","Gerstmann-Straussler-Scheinker Disease","23"
"Structure of nucleus prepositus","Creutzfeldt-Jakob disease","24"
"Structure of nucleus prepositus","Functional disorder","25"
"Structure of nucleus prepositus","Disease Progression","26"
"Structure of nucleus prepositus","Spinal Cord Diseases","27"
"Structure of nucleus prepositus","Lewy Body Disease","28"
"Structure of nucleus prepositus","neuropathology disease","29"
"Structure of nucleus prepositus","cortex bone disorders","30"
"Structure of nucleus prepositus","Ataxia as late effect of cerebrovascular disease","31"
"Structure of nucleus prepositus","Pick Disease of the Brain","32"
"Structure of nucleus prepositus","Brain Diseases","33"
"Structure of nucleus prepositus","Sexually Transmitted Diseases","34"
"BRAIN, HIPPOCAMPUS","Prion Diseases","35"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","36"
"BRAIN, HIPPOCAMPUS","Communicable Diseases","37"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","38"
"BRAIN, HIPPOCAMPUS","Creutzfeldt-Jakob Disease, Sporadic","39"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","40"
"BRAIN, HIPPOCAMPUS","Gerstmann-Straussler-Scheinker Disease","41"
"BRAIN, HIPPOCAMPUS","Creutzfeldt-Jakob disease","42"
"BRAIN, HIPPOCAMPUS","Functional disorder","43"
"BRAIN, HIPPOCAMPUS","Disease Progression","44"
"BRAIN, HIPPOCAMPUS","Lewy Body Disease","45"
"BRAIN, HIPPOCAMPUS","neuropathology disease","46"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","47"
"BRAIN, HIPPOCAMPUS","Ataxia as late effect of cerebrovascular disease","48"
"BRAIN, HIPPOCAMPUS","Pick Disease of the Brain","49"
"BRAIN, HIPPOCAMPUS","Brain Diseases","50"
"BRAIN, HIPPOCAMPUS","Sexually Transmitted Diseases","51"
"Anterodorsal nucleus of thalamus","Prion Diseases","52"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","53"
"Anterodorsal nucleus of thalamus","Communicable Diseases","54"
"Anterodorsal nucleus of thalamus","Neurodegenerative Disorders","55"
"Anterodorsal nucleus of thalamus","Creutzfeldt-Jakob Disease, Sporadic","56"
"Anterodorsal nucleus of thalamus","Neurotoxicity Syndromes","57"
"Anterodorsal nucleus of thalamus","Gerstmann-Straussler-Scheinker Disease","58"
"Anterodorsal nucleus of thalamus","Creutzfeldt-Jakob disease","59"
"Anterodorsal nucleus of thalamus","Functional disorder","60"
"Anterodorsal nucleus of thalamus","Disease Progression","61"
"Anterodorsal nucleus of thalamus","Spinal Cord Diseases","62"
"Anterodorsal nucleus of thalamus","Lewy Body Disease","63"
"Anterodorsal nucleus of thalamus","neuropathology disease","64"
"Anterodorsal nucleus of thalamus","cortex bone disorders","65"
"Anterodorsal nucleus of thalamus","Ataxia as late effect of cerebrovascular disease","66"
"Anterodorsal nucleus of thalamus","Pick Disease of the Brain","67"
"Anterodorsal nucleus of thalamus","Brain Diseases","68"
"Anterodorsal nucleus of thalamus","Sexually Transmitted Diseases","69"
"Cerebellum","Prion Diseases","70"
"Cerebellum","Alzheimer's Disease","71"
"Cerebellum","Communicable Diseases","72"
"Cerebellum","Neurodegenerative Disorders","73"
"Cerebellum","Creutzfeldt-Jakob Disease, Sporadic","74"
"Cerebellum","Neurotoxicity Syndromes","75"
"Cerebellum","Gerstmann-Straussler-Scheinker Disease","76"
"Cerebellum","Creutzfeldt-Jakob disease","77"
"Cerebellum","Functional disorder","78"
"Cerebellum","Disease Progression","79"
"Cerebellum","Spinal Cord Diseases","80"
"Cerebellum","Lewy Body Disease","81"
"Cerebellum","neuropathology disease","82"
"Cerebellum","cortex bone disorders","83"
"Cerebellum","Ataxia as late effect of cerebrovascular disease","84"
"Cerebellum","Pick Disease of the Brain","85"
"Cerebellum","Brain Diseases","86"
"Cerebellum","Sexually Transmitted Diseases","87"
"Cerebral cortex","Prion Diseases","88"
"Cerebral cortex","Alzheimer's Disease","89"
"Cerebral cortex","Communicable Diseases","90"
"Cerebral cortex","Neurodegenerative Disorders","91"
"Cerebral cortex","Creutzfeldt-Jakob Disease, Sporadic","92"
"Cerebral cortex","Neurotoxicity Syndromes","93"
"Cerebral cortex","Gerstmann-Straussler-Scheinker Disease","94"
"Cerebral cortex","Creutzfeldt-Jakob disease","95"
"Cerebral cortex","Functional disorder","96"
"Cerebral cortex","Disease Progression","97"
"Cerebral cortex","Lewy Body Disease","98"
"Cerebral cortex","neuropathology disease","99"
"Cerebral cortex","cortex bone disorders","100"
"Cerebral cortex","Ataxia as late effect of cerebrovascular disease","101"
"Cerebral cortex","Pick Disease of the Brain","102"
"Cerebral cortex","Brain Diseases","103"
"Cerebral cortex","Sexually Transmitted Diseases","104"
"Genus Hippocampus","Prion Diseases","105"
"Genus Hippocampus","Alzheimer's Disease","106"
"Genus Hippocampus","Communicable Diseases","107"
"Genus Hippocampus","Neurodegenerative Disorders","108"
"Genus Hippocampus","Creutzfeldt-Jakob Disease, Sporadic","109"
"Genus Hippocampus","Neurotoxicity Syndromes","110"
"Genus Hippocampus","Gerstmann-Straussler-Scheinker Disease","111"
"Genus Hippocampus","Creutzfeldt-Jakob disease","112"
"Genus Hippocampus","Functional disorder","113"
"Genus Hippocampus","Disease Progression","114"
"Genus Hippocampus","Lewy Body Disease","115"
"Genus Hippocampus","neuropathology disease","116"
"Genus Hippocampus","cortex bone disorders","117"
"Genus Hippocampus","Ataxia as late effect of cerebrovascular disease","118"
"Genus Hippocampus","Pick Disease of the Brain","119"
"Genus Hippocampus","Brain Diseases","120"
"Genus Hippocampus","Sexually Transmitted Diseases","121"
"Lobe, Frontal","Prion Diseases","122"
"Lobe, Frontal","Alzheimer's Disease","123"
"Lobe, Frontal","Communicable Diseases","124"
"Lobe, Frontal","Neurodegenerative Disorders","125"
"Lobe, Frontal","Creutzfeldt-Jakob Disease, Sporadic","126"
"Lobe, Frontal","Neurotoxicity Syndromes","127"
"Lobe, Frontal","Gerstmann-Straussler-Scheinker Disease","128"
"Lobe, Frontal","Creutzfeldt-Jakob disease","129"
"Lobe, Frontal","Functional disorder","130"
"Lobe, Frontal","Disease Progression","131"
"Lobe, Frontal","Spinal Cord Diseases","132"
"Lobe, Frontal","Lewy Body Disease","133"
"Lobe, Frontal","neuropathology disease","134"
"Lobe, Frontal","cortex bone disorders","135"
"Lobe, Frontal","Ataxia as late effect of cerebrovascular disease","136"
"Lobe, Frontal","Pick Disease of the Brain","137"
"Lobe, Frontal","Brain Diseases","138"
"Lobe, Frontal","Sexually Transmitted Diseases","139"
"Purkinje Cells","Prion Diseases","140"
"Purkinje Cells","Alzheimer's Disease","141"
"Purkinje Cells","Communicable Diseases","142"
"Purkinje Cells","Neurodegenerative Disorders","143"
"Purkinje Cells","Creutzfeldt-Jakob Disease, Sporadic","144"
"Purkinje Cells","Neurotoxicity Syndromes","145"
"Purkinje Cells","Gerstmann-Straussler-Scheinker Disease","146"
"Purkinje Cells","Creutzfeldt-Jakob disease","147"
"Purkinje Cells","Functional disorder","148"
"Purkinje Cells","Disease Progression","149"
"Purkinje Cells","Spinal Cord Diseases","150"
"Purkinje Cells","Lewy Body Disease","151"
"Purkinje Cells","neuropathology disease","152"
"Purkinje Cells","cortex bone disorders","153"
"Purkinje Cells","Ataxia as late effect of cerebrovascular disease","154"
"Purkinje Cells","Pick Disease of the Brain","155"
"Purkinje Cells","Brain Diseases","156"
"Purkinje Cells","Sexually Transmitted Diseases","157"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","158"
"BRAIN, HIPPOCAMPUS","Gardner Syndrome","159"
"Structure of hippocampal fissure","Van der Woude syndrome","160"
"Structure of hippocampal fissure","cortex bone disorders","161"
"Structure of hippocampal fissure","Gardner Syndrome","162"
"Structure of hippocampal fissure","Neurotoxicity Syndromes","163"
"Structure of hippocampal fissure","Neurodegenerative Disorders","164"
"Structure of hippocampal fissure","Functional disorder","165"
"Structure of dentate gyrus","Van der Woude syndrome","166"
"Structure of dentate gyrus","cortex bone disorders","167"
"Structure of dentate gyrus","Gardner Syndrome","168"
"Structure of dentate gyrus","Neurotoxicity Syndromes","169"
"Structure of dentate gyrus","Neurodegenerative Disorders","170"
"Structure of dentate gyrus","Functional disorder","171"
"Genus Hippocampus","Van der Woude syndrome","172"
"Genus Hippocampus","Gardner Syndrome","173"
"Cerebellum","Van der Woude syndrome","174"
"Cerebellum","Gardner Syndrome","175"
"Metencephalon","Van der Woude syndrome","176"
"Metencephalon","cortex bone disorders","177"
"Metencephalon","Gardner Syndrome","178"
"Metencephalon","Neurotoxicity Syndromes","179"
"Metencephalon","Neurodegenerative Disorders","180"
"Metencephalon","Functional disorder","181"
"Structure of forceps minor","Depressive disorder","182"
"Structure of forceps minor","Mild cognitive disorder","183"
"Structure of forceps minor","Saethre-Chotzen Syndrome","184"
"Structure of forceps minor","Melkersson-Rosenthal Syndrome","185"
"Structure of forceps minor","Acyanotic congenital heart disease","186"
"BRAIN, HIPPOCAMPUS","Depressive disorder","187"
"BRAIN, HIPPOCAMPUS","Mild cognitive disorder","188"
"BRAIN, HIPPOCAMPUS","Saethre-Chotzen Syndrome","189"
"BRAIN, HIPPOCAMPUS","Melkersson-Rosenthal Syndrome","190"
"BRAIN, HIPPOCAMPUS","Acyanotic congenital heart disease","191"
"Cerebral cortex","Depressive disorder","192"
"Cerebral cortex","Mild cognitive disorder","193"
"Cerebral cortex","Saethre-Chotzen Syndrome","194"
"Cerebral cortex","Melkersson-Rosenthal Syndrome","195"
"Cerebral cortex","Acyanotic congenital heart disease","196"
"Ventral Tegmental Area","Depressive disorder","197"
"Ventral Tegmental Area","Mild cognitive disorder","198"
"Ventral Tegmental Area","Saethre-Chotzen Syndrome","199"
"Ventral Tegmental Area","Melkersson-Rosenthal Syndrome","200"
"Ventral Tegmental Area","Acyanotic congenital heart disease","201"
"Genus Hippocampus","Depressive disorder","202"
"Genus Hippocampus","Mild cognitive disorder","203"
"Genus Hippocampus","Saethre-Chotzen Syndrome","204"
"Genus Hippocampus","Melkersson-Rosenthal Syndrome","205"
"Genus Hippocampus","Acyanotic congenital heart disease","206"
"Anterior insula","Depressive disorder","207"
"Anterior insula","Mild cognitive disorder","208"
"Anterior insula","Saethre-Chotzen Syndrome","209"
"Anterior insula","Melkersson-Rosenthal Syndrome","210"
"Anterior insula","Acyanotic congenital heart disease","211"
"Prefrontal Cortex","Depressive disorder","212"
"Prefrontal Cortex","Mild cognitive disorder","213"
"Prefrontal Cortex","Saethre-Chotzen Syndrome","214"
"Prefrontal Cortex","Melkersson-Rosenthal Syndrome","215"
"Prefrontal Cortex","Acyanotic congenital heart disease","216"
"Amygdaloid structure","Depressive disorder","217"
"Amygdaloid structure","Mild cognitive disorder","218"
"Amygdaloid structure","Saethre-Chotzen Syndrome","219"
"Amygdaloid structure","Melkersson-Rosenthal Syndrome","220"
"Amygdaloid structure","Acyanotic congenital heart disease","221"
"Neostriatum","Depressive disorder","222"
"Neostriatum","Mild cognitive disorder","223"
"Neostriatum","Saethre-Chotzen Syndrome","224"
"Neostriatum","Melkersson-Rosenthal Syndrome","225"
"Neostriatum","Acyanotic congenital heart disease","226"
"Basal Ganglia","Depressive disorder","227"
"Basal Ganglia","Mild cognitive disorder","228"
"Basal Ganglia","Saethre-Chotzen Syndrome","229"
"Basal Ganglia","Melkersson-Rosenthal Syndrome","230"
"Basal Ganglia","Acyanotic congenital heart disease","231"
"Structure of ansa lenticularis","Depressive disorder","232"
"Structure of ansa lenticularis","Mild cognitive disorder","233"
"Structure of ansa lenticularis","Saethre-Chotzen Syndrome","234"
"Structure of ansa lenticularis","Melkersson-Rosenthal Syndrome","235"
"Structure of ansa lenticularis","Acyanotic congenital heart disease","236"
"Planum temporale (PT)","Depressive disorder","237"
"Planum temporale (PT)","Mild cognitive disorder","238"
"Planum temporale (PT)","Saethre-Chotzen Syndrome","239"
"Planum temporale (PT)","Melkersson-Rosenthal Syndrome","240"
"Planum temporale (PT)","Acyanotic congenital heart disease","241"
"Paratenial Nucleus","Depressive disorder","242"
"Paratenial Nucleus","Mild cognitive disorder","243"
"Paratenial Nucleus","Saethre-Chotzen Syndrome","244"
"Paratenial Nucleus","Melkersson-Rosenthal Syndrome","245"
"Paratenial Nucleus","Acyanotic congenital heart disease","246"
"Corpus striatum structure","Depressive disorder","247"
"Corpus striatum structure","Mild cognitive disorder","248"
"Corpus striatum structure","Saethre-Chotzen Syndrome","249"
"Corpus striatum structure","Melkersson-Rosenthal Syndrome","250"
"Corpus striatum structure","Acyanotic congenital heart disease","251"
"Thalamic structure","Depressive disorder","252"
"Thalamic structure","Mild cognitive disorder","253"
"Thalamic structure","Saethre-Chotzen Syndrome","254"
"Thalamic structure","Melkersson-Rosenthal Syndrome","255"
"Thalamic structure","Acyanotic congenital heart disease","256"
"Insula of Reil","Depressive disorder","257"
"Insula of Reil","Mild cognitive disorder","258"
"Insula of Reil","Saethre-Chotzen Syndrome","259"
"Insula of Reil","Melkersson-Rosenthal Syndrome","260"
"Insula of Reil","Acyanotic congenital heart disease","261"
"Pyramidal Cells","Depressive disorder","262"
"Pyramidal Cells","Mild cognitive disorder","263"
"Pyramidal Cells","Saethre-Chotzen Syndrome","264"
"Pyramidal Cells","Melkersson-Rosenthal Syndrome","265"
"Pyramidal Cells","Acyanotic congenital heart disease","266"
"Nucleus of Ansa Lenticularis","Depressive disorder","267"
"Nucleus of Ansa Lenticularis","Mild cognitive disorder","268"
"Nucleus of Ansa Lenticularis","Saethre-Chotzen Syndrome","269"
"Nucleus of Ansa Lenticularis","Melkersson-Rosenthal Syndrome","270"
"Nucleus of Ansa Lenticularis","Acyanotic congenital heart disease","271"
"Cerebral cortex","Meningeal disorder","272"
"Structure of capsule of red nucleus","Meningeal disorder","273"
"Substantia nigra structure","Spinal Cord Diseases","274"
"Substantia nigra structure","Neurodegenerative Disorders","275"
"Medulla Oblongata","Spinal Cord Diseases","276"
"Medulla Oblongata","Neurodegenerative Disorders","277"
"Hypothalamic structure","Spinal Cord Diseases","278"
"Hypothalamic structure","Neurodegenerative Disorders","279"
"Anterodorsal nucleus of thalamus","Parkinson Disease","280"
"Anterodorsal nucleus of thalamus","Mobius Syndrome","281"
"Anterodorsal nucleus of thalamus","Huntington Disease","282"
"Anterodorsal nucleus of thalamus","Meckel syndrome type 1","283"
"Neostriatum","Disease Progression","284"
"Corpus striatum structure","Disease Progression","285"
"Substantia nigra structure","Disease Progression","286"
"Tuberomammillary Nucleus","Disease Progression","287"
"Median eminence of hypothalamus","Disease Progression","288"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","289"
"BRAIN, HIPPOCAMPUS","Pervasive Development Disorder","290"
"Cerebral cortex","Niemann-Pick Disease, Type C","291"
"Cerebral cortex","Pervasive Development Disorder","292"
"Genus Hippocampus","Niemann-Pick Disease, Type C","293"
"Genus Hippocampus","Pervasive Development Disorder","294"
"Structure of nucleus prepositus","Niemann-Pick Disease, Type C","295"
"Structure of nucleus prepositus","Pervasive Development Disorder","296"
"Anterodorsal nucleus of thalamus","Niemann-Pick Disease, Type C","297"
"Anterodorsal nucleus of thalamus","Pervasive Development Disorder","298"
"Structure of nucleus prepositus","Hypertensive disease","299"
"Occipital lobe","Hypertensive disease","300"
"Occipital lobe","cortex bone disorders","301"
"Occipital lobe","Neurotoxicity Syndromes","302"
"Occipital lobe","Pervasive Development Disorder","303"
"BRAIN, HIPPOCAMPUS","Opitz-Frias syndrome","304"
"BRAIN, HIPPOCAMPUS","Metabolic Syndrome X","305"
"BRAIN, HIPPOCAMPUS","Polycystic Ovary Syndrome","306"
"Hypothalamic structure","Depressive disorder","307"
"Hypothalamic structure","Opitz-Frias syndrome","308"
"Hypothalamic structure","Brain Diseases","309"
"Hypothalamic structure","Metabolic Syndrome X","310"
"Hypothalamic structure","Polycystic Ovary Syndrome","311"
"Structure of nucleus infundibularis hypothalami","Depressive disorder","312"
"Structure of nucleus infundibularis hypothalami","Opitz-Frias syndrome","313"
"Structure of nucleus infundibularis hypothalami","Brain Diseases","314"
"Structure of nucleus infundibularis hypothalami","Metabolic Syndrome X","315"
"Structure of nucleus infundibularis hypothalami","Polycystic Ovary Syndrome","316"
"Structure of nucleus infundibularis hypothalami","Neurodegenerative Disorders","317"
"Structure of dentate gyrus","Depressive disorder","318"
"Structure of dentate gyrus","Opitz-Frias syndrome","319"
"Structure of dentate gyrus","Brain Diseases","320"
"Structure of dentate gyrus","Metabolic Syndrome X","321"
"Structure of dentate gyrus","Polycystic Ovary Syndrome","322"
"Preoptic Areas","Depressive disorder","323"
"Preoptic Areas","Opitz-Frias syndrome","324"
"Preoptic Areas","Brain Diseases","325"
"Preoptic Areas","Metabolic Syndrome X","326"
"Preoptic Areas","Polycystic Ovary Syndrome","327"
"Preoptic Areas","Neurodegenerative Disorders","328"
"Corpus striatum structure","Gardner Syndrome","329"
"Corpus striatum structure","Parkinson Disease","330"
"BRAIN, HIPPOCAMPUS","Parkinson Disease","331"
"Neostriatum","Gardner Syndrome","332"
"Neostriatum","Parkinson Disease","333"
"Genus Hippocampus","Parkinson Disease","334"
"Nucleus Accumbens","Gardner Syndrome","335"
"Brain Stem","Attention Deficit Disorder","336"
"Brain Stem","Spinal Cord Diseases","337"
"Brain Stem","Attention deficit hyperactivity disorder","338"
"Cerebral cortex","Mucocutaneous Lymph Node Syndrome","339"
"Cerebral cortex","Van der Woude syndrome","340"
"Cerebral cortex","Leigh Disease","341"
"Cerebral cortex","Gardner Syndrome","342"
"Area striata structure","cortex bone disorders","343"
"Area striata structure","Mucocutaneous Lymph Node Syndrome","344"
"Area striata structure","Van der Woude syndrome","345"
"Area striata structure","Leigh Disease","346"
"Area striata structure","Gardner Syndrome","347"
"Visual Cortex","cortex bone disorders","348"
"Visual Cortex","Mucocutaneous Lymph Node Syndrome","349"
"Visual Cortex","Van der Woude syndrome","350"
"Visual Cortex","Leigh Disease","351"
"Visual Cortex","Gardner Syndrome","352"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","cortex bone disorders","353"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Mucocutaneous Lymph Node Syndrome","354"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Van der Woude syndrome","355"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Leigh Disease","356"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Gardner Syndrome","357"
"BRAIN, HIPPOCAMPUS","Mucocutaneous Lymph Node Syndrome","358"
