"brainregion","disease","count"
"BRAIN, HIPPOCAMPUS","Liver diseases","1"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","2"
"BRAIN, HIPPOCAMPUS","Creutzfeldt-Jakob disease","3"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","4"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","5"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","6"
"BRAIN, HIPPOCAMPUS","Depressive disorder","7"
"BRAIN, HIPPOCAMPUS","Functional disorder","8"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","9"
"BRAIN, HIPPOCAMPUS","Parkinson Disease","10"
"BRAIN, HIPPOCAMPUS","Sensitization (disorder)","11"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","12"
"BRAIN, HIPPOCAMPUS","Disease Progression","13"
"BRAIN, HIPPOCAMPUS","Disorder nervous system","14"
"BRAIN, HIPPOCAMPUS","Autistic Disorder","15"
"BRAIN, HIPPOCAMPUS","Pervasive Development Disorder","16"
"BRAIN, HIPPOCAMPUS","Spinal Cord Diseases","17"
"BRAIN, HIPPOCAMPUS","Mohr-Tranebjaerg syndrome","18"
"Genus Hippocampus","Neurotoxicity Syndromes","19"
"Genus Hippocampus","Alzheimer's Disease","20"
"Genus Hippocampus","Depressive disorder","21"
"Genus Hippocampus","cortex bone disorders","22"
"Genus Hippocampus","Functional disorder","23"
"Genus Hippocampus","Niemann-Pick Disease, Type C","24"
"Genus Hippocampus","Parkinson Disease","25"
"Genus Hippocampus","Neurodegenerative Disorders","26"
"Genus Hippocampus","Sensitization (disorder)","27"
"Genus Hippocampus","Van der Woude syndrome","28"
"Genus Hippocampus","Disease Progression","29"
"Genus Hippocampus","Disorder nervous system","30"
"Genus Hippocampus","Autistic Disorder","31"
"Genus Hippocampus","Pervasive Development Disorder","32"
"Genus Hippocampus","Spinal Cord Diseases","33"
"Genus Hippocampus","Mohr-Tranebjaerg syndrome","34"
"Cerebral cortex","Neurotoxicity Syndromes","35"
"Cerebral cortex","Alzheimer's Disease","36"
"Cerebral cortex","Depressive disorder","37"
"Cerebral cortex","cortex bone disorders","38"
"Cerebral cortex","Functional disorder","39"
"Cerebral cortex","Niemann-Pick Disease, Type C","40"
"Cerebral cortex","Parkinson Disease","41"
"Cerebral cortex","Neurodegenerative Disorders","42"
"Cerebral cortex","Sensitization (disorder)","43"
"Cerebral cortex","Van der Woude syndrome","44"
"Cerebral cortex","Disease Progression","45"
"Cerebral cortex","Disorder nervous system","46"
"Cerebral cortex","Autistic Disorder","47"
"Cerebral cortex","Pervasive Development Disorder","48"
"Cerebral cortex","Spinal Cord Diseases","49"
"Cerebral cortex","Mohr-Tranebjaerg syndrome","50"
"Cerebral hemisphere structure (body structure)","Neurotoxicity Syndromes","51"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","52"
"Cerebral hemisphere structure (body structure)","Depressive disorder","53"
"Cerebral hemisphere structure (body structure)","cortex bone disorders","54"
"Cerebral hemisphere structure (body structure)","Functional disorder","55"
"Cerebral hemisphere structure (body structure)","Niemann-Pick Disease, Type C","56"
"Cerebral hemisphere structure (body structure)","Parkinson Disease","57"
"Cerebral hemisphere structure (body structure)","Neurodegenerative Disorders","58"
"Cerebral hemisphere structure (body structure)","Sensitization (disorder)","59"
"Cerebral hemisphere structure (body structure)","Van der Woude syndrome","60"
"Cerebral hemisphere structure (body structure)","Disease Progression","61"
"Cerebral hemisphere structure (body structure)","Disorder nervous system","62"
"Cerebral hemisphere structure (body structure)","Autistic Disorder","63"
"Cerebral hemisphere structure (body structure)","Pervasive Development Disorder","64"
"Cerebral hemisphere structure (body structure)","Spinal Cord Diseases","65"
"Cerebral hemisphere structure (body structure)","Mohr-Tranebjaerg syndrome","66"
"Basal Nucleus of Meynert","Neurotoxicity Syndromes","67"
"Basal Nucleus of Meynert","Alzheimer's Disease","68"
"Basal Nucleus of Meynert","Depressive disorder","69"
"Basal Nucleus of Meynert","cortex bone disorders","70"
"Basal Nucleus of Meynert","Functional disorder","71"
"Basal Nucleus of Meynert","Niemann-Pick Disease, Type C","72"
"Basal Nucleus of Meynert","Parkinson Disease","73"
"Basal Nucleus of Meynert","Neurodegenerative Disorders","74"
"Basal Nucleus of Meynert","Sensitization (disorder)","75"
"Basal Nucleus of Meynert","Van der Woude syndrome","76"
"Basal Nucleus of Meynert","Disease Progression","77"
"Basal Nucleus of Meynert","Disorder nervous system","78"
"Basal Nucleus of Meynert","Autistic Disorder","79"
"Basal Nucleus of Meynert","Pervasive Development Disorder","80"
"Basal Nucleus of Meynert","Spinal Cord Diseases","81"
"Basal Nucleus of Meynert","Mohr-Tranebjaerg syndrome","82"
"Hypothalamic structure","Neurotoxicity Syndromes","83"
"Hypothalamic structure","Alzheimer's Disease","84"
"Hypothalamic structure","Depressive disorder","85"
"Hypothalamic structure","cortex bone disorders","86"
"Hypothalamic structure","Functional disorder","87"
"Hypothalamic structure","Niemann-Pick Disease, Type C","88"
"Hypothalamic structure","Parkinson Disease","89"
"Hypothalamic structure","Neurodegenerative Disorders","90"
"Hypothalamic structure","Sensitization (disorder)","91"
"Hypothalamic structure","Van der Woude syndrome","92"
"Hypothalamic structure","Disease Progression","93"
"Hypothalamic structure","Disorder nervous system","94"
"Hypothalamic structure","Autistic Disorder","95"
"Hypothalamic structure","Pervasive Development Disorder","96"
"Hypothalamic structure","Spinal Cord Diseases","97"
"Hypothalamic structure","Mohr-Tranebjaerg syndrome","98"
"CA1 field","Neurotoxicity Syndromes","99"
"CA1 field","Alzheimer's Disease","100"
"CA1 field","Depressive disorder","101"
"CA1 field","cortex bone disorders","102"
"CA1 field","Functional disorder","103"
"CA1 field","Niemann-Pick Disease, Type C","104"
"CA1 field","Parkinson Disease","105"
"CA1 field","Neurodegenerative Disorders","106"
"CA1 field","Sensitization (disorder)","107"
"CA1 field","Van der Woude syndrome","108"
"CA1 field","Disease Progression","109"
"CA1 field","Disorder nervous system","110"
"CA1 field","Autistic Disorder","111"
"CA1 field","Pervasive Development Disorder","112"
"CA1 field","Spinal Cord Diseases","113"
"CA1 field","Mohr-Tranebjaerg syndrome","114"
"Cerebellum","Neurotoxicity Syndromes","115"
"Cerebellum","Alzheimer's Disease","116"
"Cerebellum","Depressive disorder","117"
"Cerebellum","cortex bone disorders","118"
"Cerebellum","Functional disorder","119"
"Cerebellum","Niemann-Pick Disease, Type C","120"
"Cerebellum","Parkinson Disease","121"
"Cerebellum","Neurodegenerative Disorders","122"
"Cerebellum","Sensitization (disorder)","123"
"Cerebellum","Van der Woude syndrome","124"
"Cerebellum","Disease Progression","125"
"Cerebellum","Disorder nervous system","126"
"Cerebellum","Autistic Disorder","127"
