"brainregion","disease","gene","count"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","SDHB wt Allele","711"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","711"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MAPT wt Allele","296"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","HLA-DQA1 wt Allele","291"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","CTLA4 wt Allele","291"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","CTLA4 wt Allele","291"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","NOD2 wt Allele","291"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","NOD2 wt Allele","291"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","HLA-DQA1 wt Allele","291"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","TYMS Gene","177"
"Tectospinal tract of medulla","Timothy syndrome","TYMS wt Allele","177"
"Triangular Septal Nucleus","Timothy syndrome","TYMS Gene","177"
"Tectospinal tract of medulla","Timothy syndrome","TYMS Gene","177"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","TYMS Gene","177"
"Triangular Septal Nucleus","Timothy syndrome","TYMS wt Allele","177"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","TYMS wt Allele","177"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","TYMS wt Allele","177"
"Nucleus fastigii","Fetal Alcohol Syndrome","FASN wt Allele","171"
"Nucleus fastigii","Fetal Alcohol Syndrome","FAS Gene","171"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","APP gene","168"
"Neostriatum","Huntington Disease","HTT gene","130"
"Corpus striatum structure","Huntington Disease","HTT gene","130"
"Pituitary Gland","Pituitary Diseases","AKT1S1 wt Allele","108"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","BACE1 Gene","101"
"Pituitary Gland","Pituitary Diseases","GNRH1 Gene","90"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Genes","79"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","IRF6 wt Allele","76"
"Pituitary Gland","Pituitary Diseases","GNRH1 wt Allele","74"
"Pituitary Gland","Pituitary Diseases","CRH Gene","70"
"Structure of nucleus prepositus","Prion Diseases","PRNP gene","68"
"Structure of nucleus prepositus","Prion Diseases","ABCB6 wt Allele","68"
"Structure of nucleus prepositus","Prion Diseases","PRNP wt Allele","68"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","PSEN1 gene","65"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","MAPT wt Allele","61"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","APOE gene","58"
"Cerebral cortex","Huntington Disease","HTT gene","58"
"Posterolateral auditory cortex","cortex bone disorders","HOXA10 wt Allele","54"
"Parietal Lobe","cortex bone disorders","HOXA10 wt Allele","54"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","PSEN1 wt Allele","50"
"Pituitary Gland","Pituitary Diseases","PRL Gene","49"
"Hypothalamic Area, Lateral","Pituitary Diseases","PLOD1 gene","48"
"Pituitary Gland","Pituitary Diseases","PLOD1 gene","48"
"Structure of angular gyrus","Hypertensive disease","ANG Gene","45"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Wild Type","43"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Wild Type","42"
"Pituitary Gland","Pituitary Diseases","POMC Gene","40"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","CD82 wt Allele","40"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","RRM1 Gene","40"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","RRM2 Gene","40"
"Pituitary Gland","Pituitary Diseases","POMC wt Allele","39"
"Genus Hippocampus","cortex bone disorders","Wild Type","39"
"Basal Ganglia","Huntington Disease","HTT gene","37"
"Structure of nucleus prepositus","Alzheimer's Disease","ABCB6 wt Allele","37"
"BRAIN, HIPPOCAMPUS","Syndrome, Bloch-Sulzberger","SDHB wt Allele","37"
"BRAIN, HIPPOCAMPUS","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","37"
"Structure of nucleus prepositus","Alzheimer's Disease","PRNP gene","37"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Genes","37"
"Structure of nucleus prepositus","Alzheimer's Disease","PRNP wt Allele","37"
"Pituitary Gland","Pituitary Diseases","KISS1 Gene","37"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","APP gene","36"
"Substantia innominata","cortex bone disorders","SILV wt Allele","36"
"Genus Hippocampus","cortex bone disorders","Genes","36"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","MAPT wt Allele","35"
"Genus Hippocampus","cortex bone disorders","APP gene","34"
"Genus Hippocampus","Van der Woude syndrome","IRF6 wt Allele","32"
"Genus Hippocampus","cortex bone disorders","MAPT wt Allele","32"
"Gigantocellular nucleus","Gardner Syndrome","GNAI1 wt Allele","31"
"Gigantocellular nucleus","Gardner Syndrome","APC wt Allele","31"
"Gigantocellular nucleus","Gardner Syndrome","GNAI1 Gene","31"
"Corpus striatum structure","Neurodegenerative Disorders","HTT gene","31"
"Neostriatum","Neurodegenerative Disorders","HTT gene","31"
"Genus Hippocampus","Alzheimer's Disease","MAPT wt Allele","30"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","APP gene","30"
"Structure of rubrospinal tract","cortex bone disorders","PITX2 wt Allele","29"
"Substantia nigra structure","Parkinson Disease","SCG2 Gene","29"
"Ventral reticulospinal tract","Rothmund-Thomson syndrome","RECQL4 wt Allele","28"
"Ventral reticulospinal tract","Rett Syndrome","RECQL4 wt Allele","28"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","PSEN1 gene","28"
"Median eminence of hypothalamus","Pituitary Diseases","AKT1S1 wt Allele","28"
"Ventral reticulospinal tract","Rothmund-Thomson syndrome","CREBBP wt Allele","28"
"Ventral reticulospinal tract","Rett Syndrome","CREBBP wt Allele","28"
"Pituitary Gland","Pituitary Diseases","GGH wt Allele","28"
"Pituitary Gland","Pituitary Diseases","GH1 Gene","28"
"Genus Hippocampus","cortex bone disorders","PSEN1 gene","27"
"Structure of angular gyrus","Meconium Aspiration Syndrome","ANG Gene","27"
"Structure of angular gyrus","Macrophage Activation Syndrome","MAS1 wt Allele","27"
"Cerebral cortex","Mucocutaneous Lymph Node Syndrome","AR wt Allele","27"
"Structure of angular gyrus","Macrophage Activation Syndrome","ANG Gene","27"
