brainregion,disease,mentalprocess
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Ability to balance
"BRAIN, HIPPOCAMPUS",cortex bone disorders,Ability to interact with others
Genus Hippocampus,cortex bone disorders,Able to balance
Pituitary Gland,Pituitary Diseases,Abnormal behavior
Cerebral cortex,cortex bone disorders,Above average intellect
Brain Stem,Spinal Cord Diseases,Absence of pain sensation
Structure of central sulcus,"Hamartoma Syndrome, Multiple",Abstract thinking ability
"BRAIN, HIPPOCAMPUS",Alzheimer's Disease,Academic achievement
Corpus striatum structure,cortex bone disorders,Accommodation phosphene
Neostriatum,cortex bone disorders,Achievement
Substantia nigra structure,Parkinson Disease,active state
Thalamic structure,cortex bone disorders,Activities of Daily Living
Interpeduncular nucleus,"Syndrome, Bloch-Sulzberger",Activity alteration
"BRAIN, HIPPOCAMPUS",Depressive disorder,Actual Inability To Taste
"BRAIN, HIPPOCAMPUS",Functional disorder,Acute confusional state
Genus Hippocampus,Alzheimer's Disease,Acute onset pain
Cerebral cortex,Alzheimer's Disease,Addictive Behavior
Pars Compacta,Parkinson Disease,"Adjustment, Psychological"
Cerebellum,cortex bone disorders,adult behavior
Cerebral cortex,Functional disorder,Affection
Midbrain structure,Parkinson Disease,Affective Symptoms
"Bundle, Predorsal",Parkinson Disease,Age-related cognitive decline
Pyramidal Cells,cortex bone disorders,Aggressive behavior
"BRAIN, HIPPOCAMPUS",Neurotoxicity Syndromes,Agitation
Cerebellum,Spinal Cord Diseases,Agnosia
Medulla Oblongata,Spinal Cord Diseases,Akathisia
Cerebral cortex,Spinal Cord Diseases,Akinesia
Corpus striatum structure,Parkinson Disease,Alcohol abuse
Neostriatum,Parkinson Disease,Alcohol consumption
Hypothalamic structure,Pituitary Diseases,Alcohol consumption during pregnancy
Caudate nucleus structure,"Hamartoma Syndrome, Multiple",Alcohol intake above recommended sensible limits
Central Dorsal Nucleus,"Hamartoma Syndrome, Multiple",Alcoholic Intoxication
Basal Ganglia,Parkinson Disease,"Alcoholic Intoxication, Chronic"
Amygdaloid structure,cortex bone disorders,Alcoholic Liver Diseases
Genus Hippocampus,Depressive disorder,Alcoholics
