"brainregion","disease","protein","count"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","APP protein, human","898"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Amyloid Proteins","776"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Amyloid","764"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Peptides","331"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Amyloid beta-Protein Precursor","233"
"Bundle, Predorsal","Parkinson Disease","Synucleins","212"
"Pituitary Gland","Pituitary Diseases","Gonadorelin","197"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Proteins","188"
"Nucleus fastigii","Fetal Alcohol Syndrome","Fatty-acid synthase","171"
"Pituitary Gland","Pituitary Diseases","Corticotropin-Releasing Hormone","151"
"Corpus striatum structure","Huntington Disease","HD protein, human","130"
"Neostriatum","Huntington Disease","HD protein, human","130"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","APP protein, human","120"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Dactinomycin","105"
"Pituitary Gland","Pituitary Diseases","Luteinizing Hormone","100"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Amyloid Proteins","97"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Amyloid","92"
"Pituitary Gland","Pituitary Diseases","Peptides","89"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Receptor","88"
"Pituitary Gland","Pituitary Diseases","Prolactin","84"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Genes","79"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Apolipoprotein E","77"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","IRF6 wt Allele","76"
"Pituitary Gland","Pituitary Diseases","Growth Hormone","75"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Proteins","72"
"Pituitary Gland","Pituitary Diseases","Receptor","70"
"Pituitary Gland","Pituitary Diseases","Corticotropin","69"
"Genus Hippocampus","cortex bone disorders","Proteins","69"
"Structure of nucleus prepositus","Prion Diseases","Major Prion Protein","68"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Secretase","66"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","APP protein, human","65"
"Genus Hippocampus","cortex bone disorders","APP protein, human","63"
"Bundle, Predorsal","Parkinson Disease","Proteins","63"
"Bundle, Predorsal","Parkinson Disease","alpha-Synuclein","58"
"Cerebral cortex","Huntington Disease","HD protein, human","58"
"Anterodorsal nucleus of thalamus","Functional disorder","APP protein, human","57"
"Posterolateral auditory cortex","cortex bone disorders","HOXA10 protein, human","54"
