"brainregion","gene","count"
"Structure of rubrospinal tract","PITX2 wt Allele","1816"
"Thalamic structure","TH gene","1664"
"Hypothalamic Area, Lateral","PLOD1 gene","1215"
"Posterior cerebral commissure","PROC Gene","1107"
"Paracentral Thalamic Nucleus","KRT17 wt Allele","1107"
"Paracentral Thalamic Nucleus","PROC wt Allele","1107"
"Posterior cerebral commissure","KRT17 wt Allele","1107"
"Posterior cerebral commissure","PODXL wt Allele","1107"
"Paracentral Thalamic Nucleus","PODXL Gene","1107"
"Posterior cerebral commissure","PROC wt Allele","1107"
"Paracentral Thalamic Nucleus","PROC Gene","1107"
"Paracentral Thalamic Nucleus","PODXL wt Allele","1107"
"Posterior cerebral commissure","PODXL Gene","1107"
"Structure of angular gyrus","ANG Gene","1056"
"Structure of nucleus prepositus","PRNP wt Allele","984"
"Structure of nucleus prepositus","PRNP gene","984"
"Structure of nucleus prepositus","ABCB6 wt Allele","984"
"Marginal Sulcus","MTR wt Allele","908"
"Medial Septal Nucleus","MTR wt Allele","908"
"Marginal Sulcus","MTR Gene","908"
"Medial Septal Nucleus","MTR Gene","908"
"BRAIN, HIPPOCAMPUS","Wild Type","756"
"Interpeduncular nucleus","IKBKG wt Allele","711"
"Interpeduncular nucleus","SDHB wt Allele","711"
"BRAIN, HIPPOCAMPUS","MAPT wt Allele","693"
"BRAIN, HIPPOCAMPUS","Genes","682"
"Structure of capsule of red nucleus","CR2 wt Allele","659"
"Structure of capsule of red nucleus","CD55 wt Allele","659"
"Substantia nigra structure","TH gene","600"
"BRAIN, HIPPOCAMPUS","BDNF Gene","522"
"Cerebral cortex","Genes","522"
"Central insular sulcus","CISH Gene","516"
"Substantia nigra structure","SCG2 Gene","505"
"Rostrotemporal auditory area","POMT1 gene","492"
"Structure of thalamic reticular nucleus","POMT1 gene","492"
"Posterolateral auditory cortex","HOXA10 wt Allele","455"
"Parietal Lobe","HOXA10 wt Allele","455"
"Cerebral Peduncle","CP Gene","447"
"Gigantocellular nucleus","GNAI1 Gene","444"
"Gigantocellular nucleus","GNAI1 wt Allele","444"
"Pineal gland","SERPINA1 wt Allele","427"
"Pineal gland","SERPINA1 gene","427"
"Structure of nucleus infundibularis hypothalami","KISS1 Gene","417"
"Neostriatum","TH gene","416"
"Corpus striatum structure","TH gene","403"
"Hypothalamic Area, Lateral","HCRT Gene","400"
"Pontine nuclei","POSTN wt Allele","393"
"Pontine nuclei","POSTN Gene","393"
"BRAIN, HIPPOCAMPUS","Tumor Necrosis Factor-alpha","387"
"Substantia innominata","SILV wt Allele","383"
"BRAIN, HIPPOCAMPUS","CD69 wt Allele","378"
"Genus Hippocampus","Genes","361"
"Genus Hippocampus","MAPT wt Allele","356"
"BRAIN, HIPPOCAMPUS","TNF Gene","354"
"Cerebral cortex","Wild Type","338"
"Structure of anterior commissure","ASAH1 wt Allele","336"
"Structure of anterior commissure","ASAH1 Gene","336"
"Nucleus of anterior commissure","ASAH1 Gene","336"
"Nucleus of anterior commissure","ASAH1 wt Allele","336"
"Structure of nucleus gracilis","NR3C1 Gene","323"
"Structure of nucleus gracilis","NR3C1 wt Allele","323"
"BRAIN, HIPPOCAMPUS","APP gene","320"
"Dorsal Septal Nucleus","DHPS wt Allele","307"
"Ventral Tegmental Area","TH gene","298"
"Anterodorsal nucleus of thalamus","MAPT wt Allele","296"
"Genus Hippocampus","Wild Type","293"
"Central Dorsal Nucleus","HLA-DQA1 wt Allele","291"
"Caudate nucleus structure","CTLA4 wt Allele","291"
"Caudate nucleus structure","NOD2 wt Allele","291"
"Central Dorsal Nucleus","CTLA4 wt Allele","291"
"Caudate nucleus structure","HLA-DQA1 wt Allele","291"
"Central Dorsal Nucleus","NOD2 wt Allele","291"
"Hypothalamic Area, Lateral","GNRH1 wt Allele","281"
"Hypothalamic Area, Lateral","GNRH1 Gene","281"
"Cerebral cortex","MAPT wt Allele","277"
"Hypothalamic structure","LEP Gene","267"
"Metencephalon","MET Gene","261"
"Metencephalon","MET wt Allele","261"
"Cerebral cortex","FASTK Gene","258"
"Structure of thalamic fasciculus","CLIC4 wt Allele","254"
"BRAIN, HIPPOCAMPUS","c-fos Genes","250"
"Genus Hippocampus","BDNF Gene","249"
"Structure of nucleus infundibularis hypothalami","POMC Gene","248"
"Cerebellum","Genes","247"
"BRAIN, HIPPOCAMPUS","ENG wt Allele","244"
"Ventral Posterior Nucleus","AVP wt Allele","241"
"Genus Hippocampus","Tumor Necrosis Factor-alpha","240"
"Pyramidal Cells","FASTK Gene","239"
"BRAIN, HIPPOCAMPUS","PSEN1 gene","239"
"Structure of locus ceruleus","TH gene","235"
"BRAIN, HIPPOCAMPUS","FASTK Gene","232"
"Pars Compacta","TH gene","231"
"Midbrain structure","TH gene","226"
"BRAIN, HIPPOCAMPUS","PSEN1 wt Allele","225"
"BRAIN, HIPPOCAMPUS","GRIN2B wt Allele","223"
"Genus Hippocampus","TNF Gene","219"
"Olfactory tubercle","KLK3 Gene","214"
"Olfactory tubercle","KLK3 wt Allele","214"
"Olfactory tubercle","SH2B2 wt Allele","214"
"Planum temporale (PT)","F2 wt Allele","212"
"Paratenial Nucleus","F2 wt Allele","212"
"BRAIN, HIPPOCAMPUS","GFAP gene","211"
"Cerebral cortex","CAT Gene","210"
"Hypothalamic structure","HCRT Gene","210"
"Nucleus, Principal Pretectal","PPT1 gene","202"
"Visual Cortex","Chloramphenicol O-Acetyltransferase","201"
"Visual Cortex","CAT Gene","201"
"Visual Cortex","Chloramphenicol Acetyl Transferase Gene","201"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","CAT Gene","200"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Chloramphenicol O-Acetyltransferase","200"
"Cerebral cortex","Chloramphenicol O-Acetyltransferase","200"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Chloramphenicol Acetyl Transferase Gene","200"
"Purkinje Cells","LITAF gene","199"
"Cerebral cortex","Chloramphenicol Acetyl Transferase Gene","198"
"Lobe, Frontal","FLT3LG Gene","192"
"Lobe, Frontal","FLT3LG wt Allele","192"
"Hypothalamic structure","OXT Gene","191"
"BRAIN, HIPPOCAMPUS","Long Interspersed Element","191"
"Lateral Dorsal Nucleus","FOXC2 wt Allele","189"
"Cerebral cortex","LITAF gene","189"
"BRAIN, HIPPOCAMPUS","SYP Gene","188"
"CA1 field","Wild Type","187"
"Nucleus solitarius","c-fos Genes","186"
"Cerebral cortex","CD69 wt Allele","186"
"BRAIN, HIPPOCAMPUS","MTOR Gene","186"
"BRAIN, HIPPOCAMPUS","CHAT Gene","182"
"Genus Hippocampus","APP gene","182"
"BRAIN, HIPPOCAMPUS","DCX gene","181"
"Hypothalamic structure","GNRH1 Gene","179"
"Triangular Septal Nucleus","TYMS Gene","177"
"Tectospinal tract of medulla","TYMS wt Allele","177"
"Basal Forebrain","CHAT Gene","177"
"Tectospinal tract of medulla","TYMS Gene","177"
"Triangular Septal Nucleus","TYMS wt Allele","177"
"Olivocerebellar fibers","BGLAP wt Allele","176"
"Olivocerebellar fibers","BGLAP Gene","176"
"Corpus striatum structure","HTT gene","176"
"Neostriatum","HTT gene","176"
"Structure of angular gyrus","AGT Gene","176"
"Cerebral cortex","Long Interspersed Element","174"
"Hypothalamic structure","POMC Gene","173"
"Nucleus fastigii","FASN wt Allele","171"
"Nucleus fastigii","FAS Gene","171"
"BRAIN, HIPPOCAMPUS","CREB1 wt Allele","171"
"BRAIN, HIPPOCAMPUS","CREB1 Gene","171"
"Structure of forceps minor","ACACA wt Allele","170"
"BRAIN, HIPPOCAMPUS","NTRK2 Gene","169"
"Anterodorsal nucleus of thalamus","APP gene","168"
"BRAIN, HIPPOCAMPUS","NGF Gene","166"
"Genus Hippocampus","CD69 wt Allele","164"
"Cerebral cortex","SET Gene","164"
"Dentatothalamic tract","DST Gene","163"
"Dentatothalamic tract","DST wt Allele","163"
"Preoptic Areas","GNRH1 Gene","163"
"Dentate nucleus","DST wt Allele","163"
"Dentate nucleus","DST Gene","163"
"Neostriatum","Wild Type","162"
"BRAIN, HIPPOCAMPUS","FGFR1 wt Allele","160"
"Cerebral cortex","FGFR1 wt Allele","160"
"BRAIN, HIPPOCAMPUS","SST Gene","159"
"Corpus striatum structure","Wild Type","158"
"Genus Hippocampus","c-fos Genes","157"
"Hypothalamic structure","c-fos Genes","156"
"BRAIN, HIPPOCAMPUS","ATP8A2 wt Allele","155"
"Nucleus of optic tract","OXT Gene","154"
"Nucleus of optic tract","OXT wt Allele","154"
"BRAIN, HIPPOCAMPUS","PITX2 wt Allele","154"
"Hypothalamic structure","KISS1 Gene","152"
"Hypothalamic structure","Genes","151"
"Hypothalamic structure","GNRH1 wt Allele","150"
"Genus Hippocampus","PSEN1 gene","150"
"BRAIN, HIPPOCAMPUS","INS gene","149"
"Structure of locus ceruleus","ELANE Gene","148"
"Structure of locus ceruleus","ELANE wt Allele","148"
"Diagonal Band of Broca","MTR wt Allele","147"
"Pituitary Gland","AKT1S1 wt Allele","147"
"Diagonal Band of Broca","MTR Gene","147"
"Ventral Tegmental Area","HCRT Gene","145"
"Cerebellum","Wild Type","144"
"Purkinje Cells","Wild Type","144"
"Median eminence of hypothalamus","GNRH1 Gene","144"
"Cerebral cortex","SST Gene","142"
"Genus Hippocampus","PSEN1 wt Allele","141"
"Hypothalamic structure","CRH Gene","139"
"Pyramidal Cells","Wild Type","137"
"Nucleus of Diagonal Band","LEPR wt Allele","135"
"Diagonal Band of Broca","LEPR wt Allele","135"
"Cerebral cortex","ENG wt Allele","135"
"Structure of nucleus infundibularis hypothalami","NPY Gene","134"
"Neostriatum","c-fos Genes","134"
"Tectopontine fibers","TMPO Gene","133"
"Genus Hippocampus","GFAP gene","133"
"Tectopontine fibers","TYMP wt Allele","133"
"Tectopontine fibers","TMPO wt Allele","133"
"Amygdaloid structure","c-fos Genes","133"
"Tectopontine fibers","TYMP Gene","133"
"BRAIN, HIPPOCAMPUS","MAPK3 Gene","132"
"Preoptic Areas","GNRH1 wt Allele","131"
"Genus Hippocampus","CHAT Gene","129"
"Purkinje Cells","Genes","128"
"BRAIN, HIPPOCAMPUS","GRIN2A wt Allele","127"
"Genus Hippocampus","ENG wt Allele","127"
"Purkinje Cells","PROC Gene","126"
"Purkinje Cells","PROC wt Allele","126"
"Purkinje Cells","KRT17 wt Allele","126"
"Purkinje Cells","PODXL wt Allele","126"
"Purkinje Cells","PODXL Gene","126"
"Paracentral sulcus","KRAS wt Allele","125"
"Neostriatum","Genes","125"
"Corpus striatum structure","Genes","124"
"Median eminence of hypothalamus","GNRH1 wt Allele","123"
"Corpus striatum structure","c-fos Genes","123"
"Structure of nucleus infundibularis hypothalami","LEP Gene","123"
"Structure of paraventricular nucleus of thalamus","SST Gene","123"
"BRAIN, HIPPOCAMPUS","GRIN2B Gene","123"
"BRAIN, HIPPOCAMPUS","Promoter","122"
"BRAIN, HIPPOCAMPUS","MAP Kinase Gene","122"
"Cerebral cortex","BDNF Gene","122"
"BRAIN, HIPPOCAMPUS","MAPK3 wt Allele","122"
"Cerebral cortex","c-fos Genes","121"
"Tuberomammillary Nucleus","THBD wt Allele","120"
"Hypothalamic structure","INS gene","116"
"Area striata structure","CAT Gene","116"
"Cerebral cortex","CHAT Gene","116"
"Area striata structure","Chloramphenicol O-Acetyltransferase","116"
"Area striata structure","Chloramphenicol Acetyl Transferase Gene","116"
"Globus Pallidus","RNF130 wt Allele","115"
"Globus Pallidus","TNC wt Allele","115"
"Rostral interstitial nucleus of medial longitudinal fasciculus","RNH1 Gene","115"
"Globus Pallidus","CDC42 wt Allele","115"
"Medulla Oblongata","TH gene","114"
"BRAIN, HIPPOCAMPUS","PIK3CA wt Allele","112"
"Area striata structure","LITAF gene","112"
"Pyramidal Cells","RPL5 wt Allele","111"
"Pituitary Gland","GNRH1 Gene","110"
"Hypothalamic structure","TH gene","110"
"Pyramidal Cells","PPFIBP1 wt Allele","109"
"CA2 field","ATP8A2 wt Allele","109"
"Nucleus of Diagonal Band","MTR wt Allele","107"
"Cerebral cortex","RELN Gene","107"
"Nucleus of Diagonal Band","MTR Gene","107"
"BRAIN, HIPPOCAMPUS","MTR wt Allele","107"
"BRAIN, HIPPOCAMPUS","MTR Gene","107"
"Structure of longitudinal cerebral fissure","LTF wt Allele","106"
"BRAIN, HIPPOCAMPUS","EPHB2 Gene","106"
"Structure of longitudinal cerebral fissure","LTF Gene","106"
"Structure of posterior hypothalamic nucleus","Philadelphia Chromosome","105"
"Prosencephalon","Genes","105"
"Medial Septal Nucleus","LEPR wt Allele","104"
"BRAIN, HIPPOCAMPUS","Estrogen Receptors","104"
"Marginal Sulcus","LEPR wt Allele","104"
"Superior colliculus of corpora quadrigemina","Chloramphenicol Acetyl Transferase Gene","103"
"Superior colliculus of corpora quadrigemina","CAT Gene","103"
"Cerebellum","AKT1S1 wt Allele","103"
"Superior colliculus of corpora quadrigemina","Chloramphenicol O-Acetyltransferase","103"
"Structure of medial preoptic nucleus","MPO Gene","102"
"Cerebral cortex","CD55 wt Allele","101"
"Cerebellum","PROC Gene","101"
"Anterodorsal nucleus of thalamus","BACE1 Gene","101"
"Cerebellum","PROC wt Allele","100"
"Nucleus Accumbens","c-fos Genes","99"
"Cerebellum","PODXL wt Allele","99"
"Cerebellum","PODXL Gene","99"
"Basal Forebrain","NGF Gene","99"
"BRAIN, HIPPOCAMPUS","MAPK1 wt Allele","99"
"Cerebellum","KRT17 wt Allele","99"
"Ventral Tegmental Area","SCG2 Gene","98"
"Structure of locus ceruleus","MAPT wt Allele","97"
"Callosal sulcus","CTNND1 wt Allele","95"
"Callosal sulcus","BCAR1 wt Allele","95"
"Callosal sulcus","BCAR1 Gene","95"
"Callosal sulcus","CTNND1 Gene","95"
"BRAIN, HIPPOCAMPUS","NES Gene","94"
"Prefrontal Cortex","Genes","94"
"BRAIN, HIPPOCAMPUS","LEP Gene","93"
"CA1 field","FASTK Gene","92"
"Pituitary Gland","GNRH1 wt Allele","92"
"Structure of nucleus infundibularis hypothalami","GHRL Gene","92"
"Genus Hippocampus","SST Gene","92"
"Pyramidal Cells","SST Gene","92"
"Structure of locus ceruleus","CRH Gene","91"
"Structure of habenulopeduncular tract","ST13 Gene","91"
"Structure of habenulopeduncular tract","ST13 wt Allele","91"
