"brainregion","disease","mental","count"
"BRAIN, HIPPOCAMPUS","Depressive disorder","DEPRESSION MENTAL","612"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Social Role","348"
"Genus Hippocampus","Depressive disorder","DEPRESSION MENTAL","256"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Impaired cognition","187"
"Triangular Septal Nucleus","Timothy syndrome","Gilles de la Tourette syndrome","177"
"Tectospinal tract of medulla","Timothy syndrome","Gilles de la Tourette syndrome","177"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","177"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","177"
"Nucleus fastigii","Fetal Alcohol Syndrome","Fetal Alcohol Syndrome","171"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Behavior","168"
"Pituitary Gland","Pituitary Diseases","Stress","150"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Like","143"
"Cerebral cortex","Depressive disorder","DEPRESSION MENTAL","142"
"Pituitary Gland","Pituitary Diseases","Social Role","140"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Communication Response","129"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Stress","116"
"Prefrontal Cortex","Depressive disorder","DEPRESSION MENTAL","107"
"Cerebral cortex","Autistic Disorder","Autistic Disorder","105"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Like","99"
"CA1 field","Depressive disorder","DEPRESSION MENTAL","97"
"Pituitary Gland","Pituitary Diseases","Communication Response","95"
"Pituitary Gland","Pituitary Diseases","Reproduction","86"
"Cerebral cortex","cortex bone disorders","Communication Response","85"
"Ventral Tegmental Area","Depressive disorder","DEPRESSION MENTAL","84"
"Lateral habenular nucleus","Depressive disorder","DEPRESSION MENTAL","83"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Memory","81"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Memory","79"
"Pyramidal Cells","Depressive disorder","DEPRESSION MENTAL","79"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Psychological inhibition","71"
"Cerebral cortex","cortex bone disorders","Projection Defense Mechanism","71"
"Genus Hippocampus","Depressive disorder","Behavior","69"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Memory impairment","66"
"Genus Hippocampus","Depressive disorder","Like","66"
"Genus Hippocampus","Depressive disorder","Stress","64"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Impaired cognition","61"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Anxiety","60"
