"brainregion","mental","count"
"BRAIN, HIPPOCAMPUS","Memory","3399"
"BRAIN, HIPPOCAMPUS","Social Role","2937"
"Cerebral cortex","Communication Response","2306"
"Cerebral cortex","Social Role","2030"
"BRAIN, HIPPOCAMPUS","Behavior","2025"
"Auditory area","Auditory area","1971"
"Genus Hippocampus","Memory","1782"
"BRAIN, HIPPOCAMPUS","Communication Response","1469"
"BRAIN, HIPPOCAMPUS","Stress","1433"
"Genus Hippocampus","Social Role","1233"
"BRAIN, HIPPOCAMPUS","Seizures","1180"
"BRAIN, HIPPOCAMPUS","Like","1117"
"Cerebral cortex","Projection Defense Mechanism","1109"
"BRAIN, HIPPOCAMPUS","Psychological inhibition","1100"
"Cerebral cortex","Behavior","1038"
"Cerebral cortex","Psychological inhibition","998"
"BRAIN, HIPPOCAMPUS","Learning","952"
"Genus Hippocampus","Behavior","950"
"BRAIN, HIPPOCAMPUS","Impaired cognition","947"
"Cerebellum","Social Role","858"
"BRAIN, HIPPOCAMPUS","Cognition","793"
"Genus Hippocampus","Stress","714"
"Area striata structure","Communication Response","670"
"BRAIN, HIPPOCAMPUS","DEPRESSION MENTAL","650"
"Prefrontal Cortex","Behavior","637"
"BRAIN, HIPPOCAMPUS","Memory impairment","605"
"Hypothalamic structure","Social Role","604"
"Amygdaloid structure","Fear","577"
"Pyramidal Cells","Communication Response","566"
"Cerebral cortex","Like","561"
"BRAIN, HIPPOCAMPUS","Spatial Memory","557"
"BRAIN, HIPPOCAMPUS","Ethanol","557"
"Genus Hippocampus","Like","555"
"CA2 field","Communication Response","532"
"Genus Hippocampus","Seizures","529"
"Genus Hippocampus","Communication Response","528"
"Ventral Tegmental Area","Behavior","527"
"BRAIN, HIPPOCAMPUS","Mental concentration","519"
"Pyramidal Cells","Psychological inhibition","519"
"Medulla Oblongata","Communication Response","505"
"Prefrontal Cortex","Social Role","504"
"Nucleus solitarius","Communication Response","501"
"CA1 field","Communication Response","493"
"BRAIN, HIPPOCAMPUS","Involvement with","493"
"BRAIN, HIPPOCAMPUS","Projection Defense Mechanism","493"
"Amygdaloid structure","Behavior","490"
"BRAIN, HIPPOCAMPUS","Visual learning","486"
"BRAIN, HIPPOCAMPUS","Fear","458"
"Genus Hippocampus","Learning","458"
