"brainregion","protein","count"
"BRAIN, HIPPOCAMPUS","Proteins","1695"
"BRAIN, HIPPOCAMPUS","Brain-Derived Neurotrophic Factor","1492"
"BRAIN, HIPPOCAMPUS","Receptor","1378"
"Hypothalamic Area, Lateral","Luteinizing Hormone","1215"
"Dorsal Nucleus Raphe","Serotonin","1120"
"Posterior cerebral commissure","PODXL protein, human","1107"
"Paracentral Thalamic Nucleus","PODXL protein, human","1107"
"Structure of angular gyrus","angiogenin","1056"
"Structure of nucleus prepositus","Major Prion Protein","984"
"Anterodorsal nucleus of thalamus","APP protein, human","898"
"Genus Hippocampus","Proteins","892"
"BRAIN, HIPPOCAMPUS","Serotonin","803"
"BRAIN, HIPPOCAMPUS","N-Methylaspartate","792"
"Anterodorsal nucleus of thalamus","Amyloid Proteins","776"
"Anterodorsal nucleus of thalamus","Amyloid","764"
"BRAIN, HIPPOCAMPUS","APP protein, human","754"
"BRAIN, HIPPOCAMPUS","Calcium","744"
"Genus Hippocampus","Brain-Derived Neurotrophic Factor","717"
"Cerebral cortex","Proteins","713"
"Substantia nigra structure","Tyrosine 3-Monooxygenase","711"
"BRAIN, HIPPOCAMPUS","Genes","682"
"Structure of angular gyrus","Aminoglutethimide","663"
"Cerebral cortex","Receptor","633"
"BRAIN, HIPPOCAMPUS","Protein Subunits","627"
"Genus Hippocampus","Receptor","566"
"Structure of angular gyrus","alanylglutamine","557"
"BRAIN, HIPPOCAMPUS","Parvalbumins","534"
"Neostriatum","Tyrosine 3-Monooxygenase","527"
"Cerebral cortex","Genes","522"
"Corpus striatum structure","Tyrosine 3-Monooxygenase","516"
"Cerebral cortex","Parvalbumins","506"
"BRAIN, HIPPOCAMPUS","Amyloid beta-Protein Precursor","504"
"Genus Hippocampus","Serotonin","481"
"BRAIN, HIPPOCAMPUS","Amyloid Proteins","472"
"Structure of nucleus infundibularis hypothalami","KISS1 protein, human","471"
"Cerebral cortex","Glucose","467"
"BRAIN, HIPPOCAMPUS","Nerve Growth Factor","464"
"BRAIN, HIPPOCAMPUS","Amyloid","460"
"Parietal Lobe","HOXA10 protein, human","455"
"Posterolateral auditory cortex","HOXA10 protein, human","455"
"CA2 field","N-Methylaspartate","452"
"BRAIN, HIPPOCAMPUS","Glucose","442"
"Cerebral cortex","Brain-Derived Neurotrophic Factor","428"
"BRAIN, HIPPOCAMPUS","Glial Fibrillary Acidic Protein","426"
"Hypothalamic structure","Gonadorelin","424"
"BRAIN, HIPPOCAMPUS","Caspase-3","423"
"Structure of nucleus infundibularis hypothalami","Pro-Opiomelanocortin","416"
"Structure of paraventricular nucleus of thalamus","Parvalbumins","414"
"Cerebral cortex","N-Methylaspartate","410"
"Hypothalamic Area, Lateral","HCRT Gene","400"
"Hypothalamic Area, Lateral","orexins","398"
"Cerebral cortex","Microtubule-Associated Proteins","397"
"Structure of nucleus infundibularis hypothalami","Y, Neuropeptide","390"
"Cerebellum","Proteins","389"
"BRAIN, HIPPOCAMPUS","Tumor Necrosis Factor-alpha","387"
"Substantia innominata","SILV protein, human","383"
"Pyramidal Cells","Receptor","378"
"BRAIN, HIPPOCAMPUS","Tumor Necrosis Factors","362"
"Genus Hippocampus","Genes","361"
"Ventral Tegmental Area","Tyrosine 3-Monooxygenase","360"
"Genus Hippocampus","APP protein, human","355"
"CA2 field","Calcium","350"
"Hypothalamic Area, Lateral","HCRT protein, human","346"
"BRAIN, HIPPOCAMPUS","Peptides","344"
"Pyramidal Cells","Parvalbumins","343"
