"gene","disease","count"
"HTT gene","Huntington Disease","1594"
"MAPT wt Allele","Alzheimer's Disease","1382"
"IRF6 wt Allele","Van der Woude syndrome","1015"
"SDHB wt Allele","Syndrome, Bloch-Sulzberger","711"
"IKBKG wt Allele","Syndrome, Bloch-Sulzberger","711"
"HTT gene","Neurodegenerative Disorders","525"
"HTT wt Allele","Huntington Disease","412"
"FUS Gene","Feline urological syndrome","405"
"AR wt Allele","Mucocutaneous Lymph Node Syndrome","390"
"APP gene","Alzheimer's Disease","345"
"NOD2 wt Allele","Hamartoma Syndrome, Multiple","291"
"HLA-DQA1 wt Allele","Hamartoma Syndrome, Multiple","291"
"CTLA4 wt Allele","Hamartoma Syndrome, Multiple","291"
"Genes","Alzheimer's Disease","276"
"Genes","Pervasive Development Disorder","270"
"MAPT wt Allele","Neurodegenerative Disorders","266"
"PADI4 Gene","Peripheral Arterial Diseases","256"
"PADI4 wt Allele","Peripheral Arterial Diseases","256"
"HTT gene","Parkinson Disease","254"
"Genes","Parkinson Disease","237"
"MECP2 gene","Rett Syndrome","236"
"MAPT wt Allele","Functional disorder","233"
"Genes","Neurodegenerative Disorders","227"
"Genes","Autism Spectrum Disorders","222"
"MAPT wt Allele","Disease Progression","215"
"APC wt Allele","Gardner Syndrome","214"
"SBDS wt Allele","Shwachman syndrome","213"
"Genes","Functional disorder","195"
"Genes","Autistic Disorder","184"
"TYMS wt Allele","Timothy syndrome","177"
"BACE1 Gene","Alzheimer's Disease","177"
"TYMS Gene","Timothy syndrome","177"
"TYMS wt Allele","Gilles de la Tourette syndrome","177"
"TYMS Gene","Gilles de la Tourette syndrome","177"
"LRRK2 gene","Parkinson Disease","176"
"FASN wt Allele","Fetal Alcohol Syndrome","171"
"FAS Gene","Fetal Alcohol Syndrome","171"
"Genes","cortex bone disorders","166"
"MECP2 wt Allele","Rett Syndrome","162"
"Genes","Neurodevelopmental disorder","160"
"PSEN1 gene","Alzheimer's Disease","155"
"TWIST1 wt Allele","Saethre-Chotzen Syndrome","148"
"MAS1 Gene","Macrophage Activation Syndrome","143"
"Genes","Huntington Disease","143"
"MAS1 wt Allele","Meconium Aspiration Syndrome","143"
"MAS1 Gene","Meconium Aspiration Syndrome","143"
"MAS1 Gene","McCune-Albright Syndrome","143"
"MAS1 wt Allele","McCune-Albright Syndrome","143"
"MAS1 wt Allele","Macrophage Activation Syndrome","143"
"CAT Gene","cortex bone disorders","134"
"Chloramphenicol O-Acetyltransferase","cortex bone disorders","131"
"Chloramphenicol Acetyl Transferase Gene","cortex bone disorders","131"
"Wild Type","cortex bone disorders","126"
"FMR1 gene","Fragile X Syndrome","126"
"APOE gene","Alzheimer's Disease","124"
"TGFBI wt Allele","Cat-Scratch Disease","124"
"TGFBI wt Allele","Congenital secretory diarrhea, sodium type (disorder)","124"
"PRNP gene","Prion Diseases","115"
"Genes","Syndrome","115"
"MID1 wt Allele","Opitz-Frias syndrome","113"
"ATP7A wt Allele","Menkes Kinky Hair Syndrome","110"
"AKT1S1 wt Allele","Pituitary Diseases","108"
"Genes","Disorder nervous system","107"
"Genes","Disorders, Mental","107"
"PSEN1 wt Allele","Alzheimer's Disease","107"
"TBX4 wt Allele","Stiff-Person Syndrome","105"
"MAPT gene","Alzheimer's Disease","104"
"MDK wt Allele","Menkes Kinky Hair Syndrome","102"
"SOD1 gene","Spinal Cord Diseases","102"
"MDK Gene","Menkes Kinky Hair Syndrome","102"
"Genes","Rett Syndrome","100"
"CD69 wt Allele","Parkinson Disease","97"
"Genes","Spinal Cord Diseases","97"
"Genes","Bipolar Disorder","96"
"SLC27A4 wt Allele","Idiopathic pneumonia syndrome","92"
"MAPT wt Allele","Neurotoxicity Syndromes","92"
"MPZ gene","Neurotoxicity Syndromes","90"
"GNRH1 Gene","Pituitary Diseases","90"
"HTT gene","Functional disorder","89"
"AR wt Allele","Androgen-Insensitivity Syndrome","89"
"BLM wt Allele","Bloom Syndrome","88"
"PARK2 gene","Parkinson Disease","88"
"MAPT wt Allele","cortex bone disorders","84"
"TARDBP wt Allele","Feline urological syndrome","82"
"CD69 wt Allele","Alzheimer's Disease","82"
"TH gene","Parkinson Disease","81"
"TP63 wt Allele","Androgen-Insensitivity Syndrome","81"
"FLT4 wt Allele","Milroy Disease","81"
"APP wt Allele","Alzheimer's Disease","80"
"Genes","Depressive disorder","79"
"Genes","Down Syndrome","79"
"PRNP wt Allele","Prion Diseases","78"
"INS gene","Alzheimer's Disease","76"
"Wild Type","Alzheimer's Disease","76"
"HTT gene","Disorder nervous system","74"
"GNRH1 wt Allele","Pituitary Diseases","74"
"PINK1 gene","Parkinson Disease","74"
"LITAF gene","cortex bone disorders","73"
"DES Gene","Dysequilibrium syndrome","72"
"Genes","Disease Progression","71"
"Retinoic Acid Response Element","Neurodegenerative Disorders","71"
"Tumor Necrosis Factor-alpha","Van der Woude syndrome","70"
"CRH Gene","Pituitary Diseases","70"
"CAT Gene","Spinal Cord Diseases","70"
"MAPT wt Allele","neuropathology disease","69"
"Chloramphenicol O-Acetyltransferase","Spinal Cord Diseases","69"
"ABCB6 wt Allele","Prion Diseases","68"
"Chloramphenicol Acetyl Transferase Gene","Spinal Cord Diseases","68"
"c-fos Genes","cortex bone disorders","68"
"LIPC Gene","Hodgkin Disease","67"
"LIPC wt Allele","Hodgkin Disease","67"
"Alleles","Alzheimer's Disease","67"
"SOD1 gene","Disease Progression","66"
"TARDBP wt Allele","Neurodegenerative Disorders","66"
"GFAP gene","cortex bone disorders","65"
"Wild Type","Spinal Cord Diseases","65"
"SHANK3 Gene","Autism Spectrum Disorders","65"
"Genes","Neurotoxicity Syndromes","64"
"ELN wt Allele","Williams Syndrome","63"
"SNCA gene","Parkinson Disease","63"
"TNF Gene","Van der Woude syndrome","63"
"ELN wt Allele","Werner Syndrome","61"
"Genes","Retinal Diseases","61"
"Chromosomes, Human, Pair 21","Down Syndrome","60"
"ENG wt Allele","cortex bone disorders","59"
"FUS wt Allele","Feline urological syndrome","58"
"GBA gene","Parkinson Disease","57"
"APP gene","cortex bone disorders","57"
"FASTK Gene","cortex bone disorders","57"
"CD69 wt Allele","Neurotoxicity Syndromes","56"
"AGT Gene","Hypertensive disease","56"
"Long Interspersed Element","Alzheimer's Disease","55"
"MECP2 gene","Neurodevelopmental disorder","55"
"Long Interspersed Element","cortex bone disorders","55"
"HOXA10 wt Allele","cortex bone disorders","54"
"FASTK Gene","Depressive disorder","52"
"MPZ gene","Parkinson Disease","52"
"Tumor Necrosis Factor-alpha","cortex bone disorders","52"
"PRNP gene","Alzheimer's Disease","52"
"SET Gene","cortex bone disorders","51"
"FMR1 wt Allele","Fragile X Syndrome","51"
"Genes","Liver diseases","51"
"LIFR wt Allele","Sturge-Weber Syndrome","50"
"BDNF Gene","Spinal Cord Diseases","50"
"NBN wt Allele","Nijmegen Breakage Syndrome","50"
"Long Interspersed Element","Functional disorder","49"
"CD69 wt Allele","Functional disorder","49"
"HP wt Allele","Norrie disease","49"
"Wild Type","Depressive disorder","49"
"Wild Type","Neurotoxicity Syndromes","49"
"c-fos Genes","Spinal Cord Diseases","49"
"HP Gene","Norrie disease","49"
"TNF Gene","cortex bone disorders","49"
"PRL Gene","Pituitary Diseases","49"
"SST Gene","cortex bone disorders","49"
