"mental","disease","count"
"DEPRESSION MENTAL","Depressive disorder","7752"
"Autistic Disorder","Autistic Disorder","2158"
"Abnormal behavior","Disorders, Mental","1495"
"Social Role","Functional disorder","1416"
"Social Role","Alzheimer's Disease","1236"
"Behavior","Depressive disorder","1191"
"Like","Depressive disorder","1101"
"Social Role","Neurodegenerative Disorders","1006"
"Unipolar Depression","Major Depressive Disorder","885"
"Impaired cognition","Alzheimer's Disease","862"
"Mood Disorders","Mood Disorders","792"
"Stress","Depressive disorder","791"
"Anxiety","Depressive disorder","755"
"Social Role","Parkinson Disease","731"
"Communication Response","cortex bone disorders","718"
"Social Role","Disease Progression","620"
"Social Role","Depressive disorder","516"
"Social Role","Neurotoxicity Syndromes","484"
"Social Role","cortex bone disorders","461"
"Fetal Alcohol Syndrome","Fetal Alcohol Syndrome","453"
"Behavior","Functional disorder","442"
"Social Role","Disorder nervous system","427"
"Memory","Alzheimer's Disease","424"
"Impaired cognition","Functional disorder","397"
"Projection Defense Mechanism","cortex bone disorders","385"
"Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","363"
"Communication Response","Depressive disorder","347"
"Comprehension","Functional disorder","346"
"Cognition","Alzheimer's Disease","337"
"Social Role","Spinal Cord Diseases","312"
"Like","Alzheimer's Disease","305"
"DEPRESSION MENTAL","Functional disorder","303"
"Insight","Functional disorder","295"
"Behavior","cortex bone disorders","291"
"Projection Defense Mechanism","Spinal Cord Diseases","291"
"Impaired cognition","Neurodegenerative Disorders","268"
"Factors, Risk","Alzheimer's Disease","262"
"Social Role","Disorders, Mental","258"
"Involvement with","Functional disorder","257"
"Involvement with","Alzheimer's Disease","254"
"Stress","Functional disorder","249"
"Communication Response","Spinal Cord Diseases","238"
"Memory impairment","Alzheimer's Disease","229"
"Involvement with","Neurodegenerative Disorders","225"
"Stress","Disorders, Mental","224"
"Like","Parkinson Disease","220"
"Methamphetamine","Neurotoxicity Syndromes","218"
"DEPRESSION MENTAL","Disorders, Mental","213"
"Psychological inhibition","cortex bone disorders","212"
"Mental association","Alzheimer's Disease","210"
"Social Role","Retinal Diseases","207"
"Stereotypic Movement Disorder","Stereotypic Movement Disorder","200"
"Stereotyped Behavior","Stereotypic Movement Disorder","200"
"Comprehension","Neurodegenerative Disorders","198"
"Like","cortex bone disorders","195"
"Impaired cognition","Cognition Disorders","194"
"smell perception","Functional disorder","185"
"Like","Neurodegenerative Disorders","183"
"Communication Response","Functional disorder","180"
"Psychological inhibition","Depressive disorder","178"
"Gilles de la Tourette syndrome","Timothy syndrome","177"
"Pain","Spinal Cord Diseases","173"
"Social Role","Brain Diseases","172"
"Involvement with","Parkinson Disease","171"
"Abnormal behavior","Functional disorder","169"
"Behavior","Autistic Disorder","166"
"Psychological inhibition","Neurotoxicity Syndromes","166"
"Impaired cognition","Depressive disorder","160"
"Communication Response","Retinal Diseases","157"
"Memory","cortex bone disorders","157"
"Hyperactive behavior","Attention deficit hyperactivity disorder","156"
"Autistic Disorder","Neurodevelopmental disorder","156"
"Seasonal Affective Disorder","Seasonal Affective Disorder","155"
"Psychological inhibition","Functional disorder","154"
"Like","Spinal Cord Diseases","152"
"Cocaine","Sensitization (disorder)","151"
"Stress","Pituitary Diseases","150"
"Like","Functional disorder","147"
"Behavior","Disorders, Mental","147"
"Behavior","Parkinson Disease","146"
"Amnesia","Alzheimer's Disease","146"
"Psychological inhibition","Alzheimer's Disease","146"
"Social Role","Autistic Disorder","144"
"Social Role","Hypertensive disease","142"
"Social Role","Pituitary Diseases","140"
"Factors, Risk","Neurodegenerative Disorders","140"
"Ethanol","Neurotoxicity Syndromes","140"
"Behavior","Autism Spectrum Disorders","138"
"Communication Response","Hamartoma Syndrome, Multiple","138"
"Memory","Depressive disorder","137"
"Abnormal behavior","Depressive disorder","137"
"Communication Response","Alzheimer's Disease","137"
"Social Role","Neurodevelopmental disorder","136"
"Mental concentration","Neurotoxicity Syndromes","136"
"Impaired cognition","Parkinson Disease","135"
"Hyperactive behavior","Attention Deficit Disorder","135"
"Cognition","Neurodegenerative Disorders","135"
"Comprehension","Disorder nervous system","134"
"DEPRESSION MENTAL","Parkinson Disease","132"
"Behavior","Alzheimer's Disease","129"
"Behavior","Pervasive Development Disorder","129"
"Sad mood","Seasonal Affective Disorder","128"
"Memory","Functional disorder","128"
"Involvement with","Spinal Cord Diseases","128"
"Behavior","Sensitization (disorder)","128"
"Projection Defense Mechanism","Retinal Diseases","128"
"Attack behavior","Migraine Disorders","128"
"Cocaine","Recurrent disease","127"
"Forgetful","Alzheimer's Disease","126"
"Swimming","Depressive disorder","123"
"Memory impairment","Functional disorder","122"
"Impaired cognition","Disease Progression","121"
"Psychological inhibition","Spinal Cord Diseases","121"
"Abnormal behavior","Behavior Disorders","120"
"psychological orientation","cortex bone disorders","120"
"Insight","Alzheimer's Disease","119"
"Behavior","Spinal Cord Diseases","118"
"Involvement with","cortex bone disorders","117"
"Social Role","Migraine Disorders","117"
"Tic disorder","Tic disorder","116"
"Cognition","Functional disorder","115"
"Comprehension","Alzheimer's Disease","115"
"Like","Disease Progression","115"
"Communication Response","Disease Progression","113"
"DEPRESSION MENTAL","Alzheimer's Disease","113"
"Ethanol","Fetal Alcohol Syndrome","113"
"Memory","Neurodegenerative Disorders","113"
"Insight","Neurodegenerative Disorders","113"
"Social Role","neuropathology disease","112"
"Social Role","Huntington Disease","111"
"Behavior","Skin endocrine disorder","110"
