"protein","disease","count"
"APP protein, human","Alzheimer's Disease","2357"
"Amyloid Proteins","Alzheimer's Disease","2137"
"Amyloid","Alzheimer's Disease","2066"
"HD protein, human","Huntington Disease","1583"
"IRF6 wt Allele","Van der Woude syndrome","1015"
"Synucleins","Parkinson Disease","810"
"Peptides","Alzheimer's Disease","766"
"Proteins","Alzheimer's Disease","673"
"Amyloid beta-Protein Precursor","Alzheimer's Disease","667"
"Proteins","Neurodegenerative Disorders","612"
"HD protein, human","Neurodegenerative Disorders","518"
"Proteins","Parkinson Disease","395"
"Methyl-CpG-Binding Protein 2","Rett Syndrome","355"
"Proteins","Functional disorder","321"
"tau Proteins","Alzheimer's Disease","317"
"Retinaldehyde","Retinal Diseases","297"
"Proteins","cortex bone disorders","282"
"Genes","Alzheimer's Disease","276"
"Genes","Pervasive Development Disorder","270"
"HD protein, human","Parkinson Disease","254"
"alpha-Synuclein","Parkinson Disease","252"
"N-Methylaspartate","Neurotoxicity Syndromes","242"
"Genes","Parkinson Disease","237"
"Fragile X Mental Retardation Protein","Fragile X Syndrome","234"
"Genes","Neurodegenerative Disorders","227"
"APP protein, human","Functional disorder","227"
"Genes","Autism Spectrum Disorders","222"
"Serotonin","Depressive disorder","216"
"Apolipoprotein E","Alzheimer's Disease","215"
"Proteins","Spinal Cord Diseases","211"
"Amyloid Proteins","Neurodegenerative Disorders","200"
"Amyloid Proteins","Functional disorder","199"
"Amyloid","Functional disorder","198"
"Gonadorelin","Pituitary Diseases","197"
"Brain-Derived Neurotrophic Factor","Depressive disorder","196"
"Genes","Functional disorder","195"
"APP protein, human","Neurodegenerative Disorders","192"
"APP protein, human","Neurotoxicity Syndromes","191"
"Amyloid","Neurodegenerative Disorders","186"
"Genes","Autistic Disorder","184"
"Synucleins","Lewy Body Disease","182"
"Receptor","cortex bone disorders","181"
"Amyloid Proteins","Neurotoxicity Syndromes","177"
"Amyloid","Neurotoxicity Syndromes","174"
"Fatty-acid synthase","Fetal Alcohol Syndrome","171"
"Receptor","Functional disorder","167"
"Receptor","Depressive disorder","167"
"Genes","cortex bone disorders","166"
"Receptor","Spinal Cord Diseases","162"
"Synucleins","Neurodegenerative Disorders","160"
"Genes","Neurodevelopmental disorder","160"
"Antibodies","Alzheimer's Disease","155"
"Proteins","Disease Progression","153"
"Parvalbumins","cortex bone disorders","153"
"Receptor","Alzheimer's Disease","153"
"APP protein, human","Disease Progression","153"
"Serotonin","Spinal Cord Diseases","152"
"Dopa","Parkinson Disease","152"
"Corticotropin-Releasing Hormone","Pituitary Diseases","151"
"Proteins","Huntington Disease","149"
"Prions","Prion Diseases","144"
"Genes","Huntington Disease","143"
"Proteins","Retinal Diseases","142"
"Enzymes","Alzheimer's Disease","141"
"Proteins","Neurotoxicity Syndromes","138"
"Amyloid Proteins","Disease Progression","137"
"Brain-Derived Neurotrophic Factor","Spinal Cord Diseases","136"
"APP protein, human","cortex bone disorders","131"
"Chloramphenicol O-Acetyltransferase","cortex bone disorders","131"
"Amyloid","Disease Progression","131"
"Secretase","Alzheimer's Disease","127"
"Synucleins","Shy-Drager Syndrome","127"
"Amyloid beta-Peptides","Alzheimer's Disease","125"
"Congenital secretory diarrhea, sodium type (disorder)","Congenital secretory diarrhea, sodium type (disorder)","124"
"Serotonin","cortex bone disorders","124"
"Congenital secretory diarrhea, sodium type (disorder)","Cat-Scratch Disease","124"
"Glial Fibrillary Acidic Protein","cortex bone disorders","122"
"Brain-Derived Neurotrophic Factor","cortex bone disorders","122"
"Brain-Derived Neurotrophic Factor","Alzheimer's Disease","120"
"Receptor","Neurotoxicity Syndromes","117"
"Brain-Derived Neurotrophic Factor","Functional disorder","116"
"Genes","Syndrome","115"
"Nerve Growth Factor","Alzheimer's Disease","114"
"Peptides","Neurotoxicity Syndromes","111"
"Microtubule-Associated Proteins","cortex bone disorders","107"
"Genes","Disorder nervous system","107"
"Genes","Disorders, Mental","107"
"tau Proteins","Neurodegenerative Disorders","105"
"Dactinomycin","Alzheimer's Disease","105"
"Synucleins","Disease Progression","105"
"Apolipoprotein E4","Alzheimer's Disease","104"
"Myelin","Spinal Cord Diseases","104"
"MDK protein, human","Menkes Kinky Hair Syndrome","102"
"Genes","Rett Syndrome","100"
"Luteinizing Hormone","Pituitary Diseases","100"
"Genes","Spinal Cord Diseases","97"
"Receptor","Parkinson Disease","97"
"Serotonin","Functional disorder","97"
"Genes","Bipolar Disorder","96"
"Retinaldehyde","DISORDERS OF THE OPTIC NERVE","95"
"Horseradish Peroxidase","Spinal Cord Diseases","94"
"HD protein, human","Functional disorder","92"
"Somatostatin","cortex bone disorders","92"
"Synucleins","Functional disorder","92"
"Calcitonin Gene-Related Peptide","Migraine Disorders","89"
"Peptides","Pituitary Diseases","89"
"Receptor","Syndrome, Bloch-Sulzberger","88"
"Amyloid beta-Protein Precursor","cortex bone disorders","87"
"Tyrosine 3-Monooxygenase","Parkinson Disease","87"
"protein TDP-43","Neurodegenerative Disorders","87"
"Dopa","Dyskinetic syndrome","86"
"Parvalbumins","Functional disorder","86"
"Proteins","Disorder nervous system","86"
"Prolactin","Pituitary Diseases","84"
"Antibodies","Syndrome","83"
"Amyloid Proteins","cortex bone disorders","82"
"Amyloid","cortex bone disorders","82"
"Calcium","cortex bone disorders","82"
"PARK2 protein, human","Parkinson Disease","82"
"protein TDP-43","Feline urological syndrome","81"
"Prions","Neurodegenerative Disorders","80"
"Sucrose","Depressive disorder","79"
"Genes","Depressive disorder","79"
"Genes","Down Syndrome","79"
"Antibodies","Spinal Cord Diseases","77"
"Glial Cell Line-Derived Neurotrophic Factor","Parkinson Disease","77"
"Acetylcholinesterase","cortex bone disorders","77"
"Insulin","Alzheimer's Disease","76"
"Peptides","Functional disorder","76"
"Neurotrophic Factor","Parkinson Disease","76"
"Peptides","Neurodegenerative Disorders","76"
"Growth Hormone","Pituitary Diseases","76"
"Methyl-CpG-Binding Protein 2","Neurodevelopmental disorder","75"
"Receptor","Retinal Diseases","74"
"HD protein, human","Disorder nervous system","74"
"Substance P","Spinal Cord Diseases","73"
"neuromelanin","Parkinson Disease","72"
"Protein Isoforms","Alzheimer's Disease","72"
"Nerve Growth Factors","Alzheimer's Disease","72"
"Protein Subunits","cortex bone disorders","71"
"Nerve Growth Factor","cortex bone disorders","71"
"Genes","Disease Progression","71"
"Proteins","Pervasive Development Disorder","71"
"Tumor Necrosis Factor-alpha","Van der Woude syndrome","70"
"Calcium","Neurotoxicity Syndromes","70"
"Receptor","Pituitary Diseases","70"
"Chloramphenicol O-Acetyltransferase","Spinal Cord Diseases","69"
"Corticotropin","Pituitary Diseases","69"
"Brain-Derived Neurotrophic Factor","Neurotoxicity Syndromes","69"
"Horseradish Peroxidase","cortex bone disorders","69"
"Major Prion Protein","Prion Diseases","68"
"Antibodies","cortex bone disorders","67"
"Protein Subunits","Spinal Cord Diseases","67"
"Proteins","Depressive disorder","66"
"Serotonin","Neurotoxicity Syndromes","66"
"Receptor","Neurodegenerative Disorders","65"
"Tumor Necrosis Factors","Van der Woude syndrome","65"
"Genes","Neurotoxicity Syndromes","64"
"Myelin","cortex bone disorders","64"
"Acetylcholinesterase","Alzheimer's Disease","64"
"Brain-Derived Neurotrophic Factor","Retinal Diseases","63"
"Proteins","Liver diseases","63"
"Monoclonal Antibodies","Alzheimer's Disease","63"
"Choline O-Acetyltransferase","cortex bone disorders","62"
"Y, Neuropeptide","cortex bone disorders","62"
"Myelin","Functional disorder","62"
"Nerve Growth Factors","Neurodegenerative Disorders","62"
"Brain-Derived Neurotrophic Factor","Neurodegenerative Disorders","61"
"Presenilin-1","Alzheimer's Disease","61"
"Genes","Retinal Diseases","61"
"Proteins","Syndrome","61"
"alpha-Synuclein","Neurodegenerative Disorders","60"
"Amyloid beta-Protein Precursor","Functional disorder","60"
"Cytokine","Functional disorder","60"
"Caspase-3","cortex bone disorders","60"
"Proteins","Autism Spectrum Disorders","60"
"N-Methylaspartate","Depressive disorder","59"
"Corticotropin-Releasing Hormone","Depressive disorder","59"
"Cytokine","Neurotoxicity Syndromes","59"
"Cytokine","Van der Woude syndrome","58"
"Serotonin","Mood Disorders","58"
"Calcium","Depressive disorder","58"
"Angiotensin II","Hypertensive disease","57"
"Peptides","Spinal Cord Diseases","57"
"Neurotrophic Factor","Alzheimer's Disease","57"
"Microtubule-Associated Proteins","Retinal Diseases","56"
"Receptor","Disorder nervous system","56"
"Brain-Derived Neurotrophic Factor","Parkinson Disease","56"
"N-Methylaspartate","cortex bone disorders","55"
"SH3 and Multiple Ankyrin Repeat Domains Protein 3","Autism Spectrum Disorders","55"
"Angiotensin-2","Hypertensive disease","54"
"HOXA10 protein, human","cortex bone disorders","54"
"Synucleins","Neurotoxicity Syndromes","54"
"Calcium","Functional disorder","54"
"Interleukin-6","Van der Woude syndrome","54"
"Serotonin","Disorders, Mental","54"
"Immunoglobulins","Alzheimer's Disease","54"
"Calcium","Alzheimer's Disease","53"
"NBS1 protein, human","Nijmegen Breakage Syndrome","53"
"Glucosylceramidase","Parkinson Disease","53"
"Choline O-Acetyltransferase","Alzheimer's Disease","53"
"Colony-Stimulating Factors","Alzheimer's Disease","52"
"Gonadotropins","Pituitary Diseases","52"
"Pro-Opiomelanocortin","Pituitary Diseases","52"
"Glycine","Spinal Cord Diseases","52"
"Phosphotransferases","Parkinson Disease","52"
"Enzymes","Functional disorder","52"
"Myelin","Demyelinating Diseases","52"
"Tumor Necrosis Factor-alpha","cortex bone disorders","52"
"Receptor","Sensitization (disorder)","52"
"Enzymes","Parkinson Disease","52"
"Granulocyte-Macrophage Colony-Stimulating Factor","Alzheimer's Disease","51"
"Neurotrophic Factor","Neurodegenerative Disorders","51"
"Antibodies","Retinal Diseases","51"
"Oxytocin","Pituitary Diseases","51"
"Genes","Liver diseases","51"
"Tumor Necrosis Factors","cortex bone disorders","51"
"alpha-Synuclein","Shy-Drager Syndrome","51"
"N-Methylaspartate","Spinal Cord Diseases","51"
"Prions","Communicable Diseases","50"
"Glucose","Alzheimer's Disease","50"
"APP protein, human","neuropathology disease","49"
"Transporter, Dopamine","Parkinson Disease","49"
"Proteins","Autistic Disorder","49"
"Amyloid beta-Protein Precursor","Down Syndrome","49"
"Proteins","neuropathology disease","49"
"Brain-Derived Neurotrophic Factor","Huntington Disease","48"
"NBS1 protein, human","Nicolaides Baraitser syndrome","48"
"protein TDP-43","Spinal Cord Diseases","48"
"Genes","Fragile X Syndrome","47"
"Tumor Necrosis Factor-alpha","Neurotoxicity Syndromes","47"
"Prions","Alzheimer's Disease","47"
"Synucleins","Alzheimer's Disease","47"
"Proteins","Rett Syndrome","47"
"Amyloid Proteins","Parkinson Disease","47"
"Proteins","Fragile X Syndrome","47"
"SILV protein, human","cortex bone disorders","47"
"Retinaldehyde","cortex bone disorders","46"
"Enzymes","Spinal Cord Diseases","46"
"Genes","Parkinsonian Disorders","46"
"Receptor","Disease Progression","45"
"protein TDP-43","Functional disorder","45"
"Enzymes","cortex bone disorders","45"
"Cytokine","Neurodegenerative Disorders","45"
"angiogenin","Hypertensive disease","45"
"Cancer/Testis Antigen","Carpal Tunnel Syndrome","45"
"Serotonin","Parkinson Disease","45"
"Brain-Derived Neurotrophic Factor","Disorders, Mental","45"
"Nerve Growth Factors","Spinal Cord Diseases","44"
"Methyl-CpG-Binding Protein 2","Functional disorder","44"
"Vasoactive Intestinal Peptide","cortex bone disorders","44"
"Glucose","cortex bone disorders","44"
"Chloramphenicol O-Acetyltransferase","Retinal Diseases","44"
"Amyloid Proteins","neuropathology disease","44"
"Protein Subunits","Retinal Diseases","44"
"Receptor","Hypertensive disease","44"
"Phosphotransferases","Alzheimer's Disease","44"
"Cytokine","Depressive disorder","44"
"Cytokine","Alzheimer's Disease","44"
"Glial Fibrillary Acidic Protein","Spinal Cord Diseases","43"
"APP protein, human","Down Syndrome","43"
"Microtubule-Associated Proteins","Alzheimer's Disease","43"
"Ubiquitin","Neurodegenerative Disorders","43"
"Nerve Growth Factors","Parkinson Disease","43"
"Genes","Hereditary Diseases","42"
