"concept,""disease"",""appearTimes"",conceptClass"
"APP protein,""Alzheimer's Disease"",""2357"",Protein"
"Amyloid Proteins,""Alzheimer's Disease"",""2137"",Protein"
"Amyloid,""Alzheimer's Disease"",""2066"",Protein"
"HD protein, human,""Huntington Disease"",""1583"",Protein"
"IRF6 wt Allele,""Van der Woude syndrome"",""1015"",Protein"
"Synucleins,""Parkinson Disease"",""810"",Protein"
"Peptides,""Alzheimer's Disease"",""766"",Protein"
"Proteins,""Alzheimer's Disease"",""673"",Protein"
"Amyloid beta-Protein Precursor,""Alzheimer's Disease"",""667"",Protein"
"Proteins,""Neurodegenerative Disorders"",""612"",Protein"
"HD protein, human,""Neurodegenerative Disorders"",""518"",Protein"
"Proteins,""Parkinson Disease"",""395"",Protein"
"Methyl-CpG-Binding Protein 2,""Rett Syndrome"",""355"",Protein"
"Proteins,""Functional disorder"",""321"",Protein"
"tau Proteins,""Alzheimer's Disease"",""317"",Protein"
"Retinaldehyde,""Retinal Diseases"",""297"",Protein"
"Proteins,""cortex bone disorders"",""282"",Protein"
"Genes,""Alzheimer's Disease"",""276"",Protein"
"Genes,""Pervasive Development Disorder"",""270"",Protein"
"HD protein, human,""Parkinson Disease"",""254"",Protein"
"alpha-Synuclein,""Parkinson Disease"",""252"",Protein"
"N-Methylaspartate,""Neurotoxicity Syndromes"",""242"",Protein"
"Genes,""Parkinson Disease"",""237"",Protein"
"Fragile X Mental Retardation Protein,""Fragile X Syndrome"",""234"",Protein"
"Genes,""Neurodegenerative Disorders"",""227"",Protein"
"APP protein, human,""Functional disorder"",""227"",Protein"
"Genes,""Autism Spectrum Disorders"",""222"",Protein"
"Serotonin,""Depressive disorder"",""216"",Protein"
"Apolipoprotein E,""Alzheimer's Disease"",""215"",Protein"
"Proteins,""Spinal Cord Diseases"",""211"",Protein"
"Amyloid Proteins,""Neurodegenerative Disorders"",""200"",Protein"
"Amyloid Proteins,""Functional disorder"",""199"",Protein"
"Amyloid,""Functional disorder"",""198"",Protein"
"Gonadorelin,""Pituitary Diseases"",""197"",Protein"
"Brain-Derived Neurotrophic Factor,""Depressive disorder"",""196"",Protein"
"Genes,""Functional disorder"",""195"",Protein"
"APP protein, human,""Neurodegenerative Disorders"",""192"",Protein"
"APP protein, human,""Neurotoxicity Syndromes"",""191"",Protein"
"Amyloid,""Neurodegenerative Disorders"",""186"",Protein"
"Genes,""Autistic Disorder"",""184"",Protein"
"Synucleins,""Lewy Body Disease"",""182"",Protein"
"Receptor,""cortex bone disorders"",""181"",Protein"
"Amyloid Proteins,""Neurotoxicity Syndromes"",""177"",Protein"
"Amyloid,""Neurotoxicity Syndromes"",""174"",Protein"
"Fatty-acid synthase,""Fetal Alcohol Syndrome"",""171"",Protein"
"Receptor,""Functional disorder"",""167"",Protein"
"Receptor,""Depressive disorder"",""167"",Protein"
"Genes,""cortex bone disorders"",""166"",Protein"
"Receptor,""Spinal Cord Diseases"",""162"",Protein"
"Synucleins,""Neurodegenerative Disorders"",""160"",Protein"
"Genes,""Neurodevelopmental disorder"",""160"",Protein"
"Antibodies,""Alzheimer's Disease"",""155"",Protein"
"Proteins,""Disease Progression"",""153"",Protein"
"Parvalbumins,""cortex bone disorders"",""153"",Protein"
"Receptor,""Alzheimer's Disease"",""153"",Protein"
"APP protein, human,""Disease Progression"",""153"",Protein"
"Serotonin,""Spinal Cord Diseases"",""152"",Protein"
"Dopa,""Parkinson Disease"",""152"",Protein"
"Corticotropin-Releasing Hormone,""Pituitary Diseases"",""151"",Protein"
"Proteins,""Huntington Disease"",""149"",Protein"
"Prions,""Prion Diseases"",""144"",Protein"
"Genes,""Huntington Disease"",""143"",Protein"
"Proteins,""Retinal Diseases"",""142"",Protein"
"Enzymes,""Alzheimer's Disease"",""141"",Protein"
"Proteins,""Neurotoxicity Syndromes"",""138"",Protein"
"Amyloid Proteins,""Disease Progression"",""137"",Protein"
"Brain-Derived Neurotrophic Factor,""Spinal Cord Diseases"",""136"",Protein"
"APP protein, human,""cortex bone disorders"",""131"",Protein"
"Chloramphenicol O-Acetyltransferase,""cortex bone disorders"",""131"",Protein"
"Amyloid,""Disease Progression"",""131"",Protein"
"Secretase,""Alzheimer's Disease"",""127"",Protein"
"Synucleins,""Shy-Drager Syndrome"",""127"",Protein"
"Amyloid beta-Peptides,""Alzheimer's Disease"",""125"",Protein"
"Congenital secretory diarrhea, sodium type (disorder),""Congenital secretory diarrhea, sodium type (disorder)"",""124"",Protein"
"Serotonin,""cortex bone disorders"",""124"",Protein"
"Congenital secretory diarrhea, sodium type (disorder),""Cat-Scratch Disease"",""124"",Protein"
"Glial Fibrillary Acidic Protein,""cortex bone disorders"",""122"",Protein"
"Brain-Derived Neurotrophic Factor,""cortex bone disorders"",""122"",Protein"
"Brain-Derived Neurotrophic Factor,""Alzheimer's Disease"",""120"",Protein"
"Receptor,""Neurotoxicity Syndromes"",""117"",Protein"
"Brain-Derived Neurotrophic Factor,""Functional disorder"",""116"",Protein"
"Genes,""Syndrome"",""115"",Protein"
"Nerve Growth Factor,""Alzheimer's Disease"",""114"",Protein"
"Peptides,""Neurotoxicity Syndromes"",""111"",Protein"
"Microtubule-Associated Proteins,""cortex bone disorders"",""107"",Protein"
"Genes,""Disorder nervous system"",""107"",Protein"
"Genes,""Disorders, Mental"",""107"",Protein"
"tau Proteins,""Neurodegenerative Disorders"",""105"",Protein"
"Dactinomycin,""Alzheimer's Disease"",""105"",Protein"
"Synucleins,""Disease Progression"",""105"",Protein"
"Apolipoprotein E4,""Alzheimer's Disease"",""104"",Protein"
"Myelin,""Spinal Cord Diseases"",""104"",Protein"
"MDK protein, human,""Menkes Kinky Hair Syndrome"",""102"",Protein"
"Genes,""Rett Syndrome"",""100"",Protein"
"Luteinizing Hormone,""Pituitary Diseases"",""100"",Protein"
"Genes,""Spinal Cord Diseases"",""97"",Protein"
"Receptor,""Parkinson Disease"",""97"",Protein"
"Serotonin,""Functional disorder"",""97"",Protein"
"Genes,""Bipolar Disorder"",""96"",Protein"
"Retinaldehyde,""DISORDERS OF THE OPTIC NERVE"",""95"",Protein"
"Horseradish Peroxidase,""Spinal Cord Diseases"",""94"",Protein"
"HD protein, human,""Functional disorder"",""92"",Protein"
"Somatostatin,""cortex bone disorders"",""92"",Protein"
"Synucleins,""Functional disorder"",""92"",Protein"
"Calcitonin Gene-Related Peptide,""Migraine Disorders"",""89"",Protein"
"Peptides,""Pituitary Diseases"",""89"",Protein"
